PurchaseOrderSysID,PurchaseOrderID,SupplierID,WarehouseID,OrderDate,ExpectedDeliveryDate,OrderStatus,PaymentStatus
SYSPO0000140,PO120480,SUP426147,WH636265,2026-07-08,2026-07-20,Delivered,Paid
SYSPO0000141,PO106182,SUP162535,WH922157,2026-05-07,2026-05-20,Delayed,Pending
SYSPO0000142,PO508930,SUP498382,WH380746,2025-12-02,2025-12-24,Delivered,Paid
SYSPO0000143,PO883826,SUP492483,WH356150,2025-10-23,2025-11-10,Delivered,Paid
SYSPO0000144,PO611945,SUP399105,WH686075,2026-04-13,2026-04-25,Delivered,Paid
SYSPO0000145,PO452457,SUP943298,WH686075,2026-02-11,2026-02-23,Delivered,Paid
SYSPO0000146,PO981334,SUP717889,WH816751,2026-01-02,2026-01-20,Delivered,Paid
SYSPO0000147,PO128276,SUP216970,WH910891,2026-07-11,2026-07-29,Delayed,Pending
SYSPO0000148,PO795205,SUP500156,WH237174,2026-07-23,2026-08-05,In Transit,Pending
SYSPO0000149,PO242291,SUP233827,WH832052,2026-04-08,2026-04-22,Delivered,Paid
SYSPO0000150,PO443254,SUP888295,WH112038,2026-01-27,2026-02-05,Delivered,Paid
SYSPO0000151,PO497542,SUP350405,WH373903,2025-09-26,2025-10-12,Delivered,Paid
SYSPO0000152,PO975467,SUP725550,WH377746,2025-11-12,2025-11-26,Cancelled,Cancelled
SYSPO0000153,PO665621,SUP600149,WH532322,2025-09-25,2025-10-13,Delivered,Paid
SYSPO0000154,PO171951,SUP432043,WH205907,2025-11-05,2025-11-21,Delivered,Paid
SYSPO0000155,PO359295,SUP946721,WH820221,2026-05-18,2026-06-05,Cancelled,Cancelled
SYSPO0000156,PO259784,SUP555052,WH771088,2026-03-08,2026-03-19,Delivered,Paid
SYSPO0000157,PO328552,SUP943298,WH429164,2026-02-27,2026-03-11,Delivered,Paid
SYSPO0000158,PO735324,SUP714953,WH636265,2025-11-12,2025-11-28,Delivered,Paid
SYSPO0000159,PO959099,SUP717024,WH539589,2026-05-19,2026-06-03,Delivered,Paid
SYSPO0000160,PO427110,SUP843215,WH832052,2026-03-17,2026-04-03,Delivered,Paid
SYSPO0000161,PO849747,SUP535020,WH832052,2026-01-15,2026-02-02,Delivered,Paid
SYSPO0000162,PO354646,SUP142213,WH233470,2026-07-16,2026-07-24,Delivered,Paid
SYSPO0000163,PO729577,SUP338533,WH324082,2026-03-16,2026-04-03,Delivered,Paid
SYSPO0000164,PO143064,SUP797229,WH781453,2026-01-04,2026-01-20,Delivered,Paid
SYSPO0000165,PO630538,SUP797229,WH785197,2025-12-20,2026-01-05,Cancelled,Cancelled
SYSPO0000166,PO540463,SUP824586,WH460663,2025-10-26,2025-11-11,Delivered,Pending
SYSPO0000167,PO766459,SUP270395,WH922157,2025-09-24,2025-10-10,Delivered,Paid
SYSPO0000168,PO284692,SUP807617,WH997546,2026-02-15,2026-03-05,Delivered,Paid
SYSPO0000169,PO947458,SUP786735,WH770487,2026-02-09,2026-02-26,Delayed,Pending
SYSPO0000170,PO587455,SUP196126,WH770487,2025-09-06,2025-09-29,Delivered,Paid
SYSPO0000171,PO993085,SUP384076,WH824586,2026-05-22,2026-06-05,Delivered,Paid
SYSPO0000172,PO572700,SUP575755,WH526833,2025-08-20,2025-09-08,Delivered,Paid
SYSPO0000173,PO497399,SUP377405,WH771088,2026-07-02,2026-08-03,In Transit,Pending
SYSPO0000174,PO440802,SUP437758,WH329974,2025-09-13,2025-09-25,Delivered,Paid
SYSPO0000175,PO456871,SUP774591,WH205907,2025-09-30,2025-10-18,Delivered,Paid
SYSPO0000176,PO682789,SUP103717,WH429164,2026-04-02,2026-05-06,Delivered,Paid
SYSPO0000177,PO855053,SUP270395,WH379766,2025-10-03,2025-10-19,Delivered,Paid
SYSPO0000178,PO599219,SUP464863,WH324082,2026-06-05,2026-06-16,Delivered,Paid
SYSPO0000179,PO197573,SUP923927,WH997546,2026-04-23,2026-05-14,Delivered,Paid
SYSPO0000180,PO796212,SUP580547,WH658582,2026-01-12,2026-02-03,Delivered,Paid
SYSPO0000181,PO546173,SUP820892,WH662336,2026-03-21,2026-04-08,Delayed,Pending
SYSPO0000182,PO468900,SUP131244,WH824586,2025-08-26,2025-09-06,Delivered,Paid
SYSPO0000183,PO226516,SUP529893,WH274389,2025-12-29,2026-01-19,Delivered,Paid
SYSPO0000184,PO899213,SUP738720,WH801474,2025-12-28,2026-01-15,Delivered,Paid
SYSPO0000185,PO389930,SUP697530,WH816751,2026-03-21,2026-04-02,Delivered,Paid
SYSPO0000186,PO396745,SUP432043,WH233470,2026-01-30,2026-02-15,Delayed,Pending
SYSPO0000187,PO410636,SUP329974,WH770487,2026-02-23,2026-03-08,Delivered,Paid
SYSPO0000188,PO660081,SUP841666,WH801474,2025-11-07,2025-11-24,Delivered,Paid
SYSPO0000189,PO406327,SUP739098,WH658582,2026-03-04,2026-03-23,Delivered,Paid
SYSPO0000190,PO614723,SUP194689,WH820221,2026-07-02,2026-07-17,Cancelled,Cancelled
SYSPO0000191,PO398151,SUP738720,WH526117,2025-08-06,2025-08-24,Delivered,Paid
SYSPO0000192,PO153872,SUP807617,WH770487,2026-04-23,2026-05-11,Delivered,Paid
SYSPO0000193,PO168517,SUP638169,WH191161,2026-05-08,2026-05-26,Delivered,Paid
SYSPO0000194,PO156213,SUP290556,WH274389,2025-09-15,2025-09-26,Delivered,Paid
SYSPO0000195,PO189318,SUP194689,WH555884,2026-04-23,2026-05-08,Delayed,Pending
SYSPO0000196,PO901577,SUP965845,WH958179,2026-07-11,2026-07-29,Delivered,Paid
SYSPO0000197,PO913373,SUP812526,WH740967,2026-02-26,2026-03-18,Delivered,Paid
SYSPO0000198,PO717113,SUP393243,WH429164,2026-05-20,2026-06-05,Delayed,Pending
SYSPO0000199,PO751194,SUP487477,WH233470,2025-11-13,2025-11-27,Delivered,Paid
SYSPO0000200,PO899787,SUP234628,WH262316,2026-05-27,2026-06-13,Delivered,Paid
SYSPO0000201,PO264686,SUP841666,WH958179,2026-04-07,2026-04-24,Delivered,Paid
SYSPO0000202,PO528361,SUP770487,WH832052,2025-12-12,2025-12-24,Delivered,Paid
SYSPO0000203,PO342720,SUP216970,WH526833,2025-09-14,2025-10-02,Delivered,Paid
SYSPO0000204,PO174637,SUP796212,WH922157,2025-11-23,2025-11-30,Delivered,Paid
SYSPO0000205,PO755420,SUP725550,WH690341,2026-01-17,2026-01-31,Delivered,Paid
SYSPO0000206,PO220351,SUP350405,WH380746,2025-10-02,2025-10-18,Delivered,Paid
SYSPO0000207,PO966785,SUP432043,WH582662,2026-01-25,2026-02-10,Delivered,Paid
SYSPO0000208,PO723948,SUP780776,WH422451,2025-08-03,2025-08-08,Delivered,Paid
SYSPO0000209,PO230394,SUP953085,WH642717,2026-05-09,2026-05-26,Delivered,Paid
SYSPO0000210,PO385470,SUP739098,WH376807,2026-07-08,2026-07-27,Delivered,Paid
SYSPO0000211,PO141797,SUP970127,WH422451,2026-05-08,2026-05-23,Delivered,Paid
SYSPO0000212,PO127121,SUP314181,WH686075,2025-11-12,2025-12-06,Delivered,Paid
SYSPO0000213,PO703139,SUP624783,WH832052,2026-02-12,2026-02-25,Cancelled,Cancelled
SYSPO0000214,PO901909,SUP841666,WH599948,2026-05-24,2026-06-10,Delivered,Paid
SYSPO0000215,PO893005,SUP970127,WH832052,2025-10-10,2025-10-25,Delivered,Paid
SYSPO0000216,PO391668,SUP162535,WH654634,2026-02-15,2026-02-28,Delivered,Paid
SYSPO0000217,PO615611,SUP965845,WH482364,2026-07-22,2026-08-09,Processing,Pending
SYSPO0000218,PO528184,SUP314181,WH356150,2025-09-12,2025-10-06,Delivered,Paid
SYSPO0000219,PO445824,SUP498382,WH329974,2026-07-06,2026-07-28,Delivered,Paid
SYSPO0000220,PO519904,SUP786735,WH379766,2026-04-01,2026-04-18,Delivered,Paid
SYSPO0000221,PO429795,SUP619389,WH824586,2025-11-25,2025-12-12,Delivered,Paid
SYSPO0000222,PO639593,SUP123005,WH771088,2026-06-24,2026-07-13,Cancelled,Cancelled
SYSPO0000223,PO668950,SUP399607,WH808011,2026-04-07,2026-04-27,Delivered,Paid
SYSPO0000224,PO752878,SUP575755,WH922157,2026-02-15,2026-03-06,Delivered,Paid
SYSPO0000225,PO313446,SUP142213,WH237174,2026-03-26,2026-04-03,Delivered,Paid
SYSPO0000226,PO832168,SUP492483,WH781453,2025-10-18,2025-11-05,Cancelled,Cancelled
SYSPO0000227,PO760626,SUP677596,WH422451,2025-09-30,2025-10-09,Delivered,Paid
SYSPO0000228,PO677596,SUP946721,WH380746,2025-12-25,2026-01-12,Delivered,Paid
SYSPO0000229,PO982277,SUP714953,WH642717,2026-05-25,2026-06-10,Delayed,Pending
SYSPO0000230,PO223172,SUP793655,WH539589,2025-10-03,2025-10-14,Delivered,Paid
SYSPO0000231,PO406039,SUP580547,WH539589,2026-02-27,2026-03-21,Delivered,Paid
SYSPO0000232,PO595158,SUP329974,WH380746,2026-05-31,2026-06-13,Delivered,Paid
SYSPO0000233,PO728492,SUP841666,WH642717,2026-07-26,2026-08-12,In Transit,Pending
SYSPO0000234,PO173201,SUP925981,WH460663,2026-02-23,2026-03-13,Delivered,Paid
SYSPO0000235,PO925981,SUP780776,WH322086,2026-07-24,2026-07-29,Delivered,Paid
SYSPO0000236,PO413058,SUP384076,WH808011,2025-08-02,2025-08-16,Delivered,Paid
SYSPO0000237,PO255813,SUP841666,WH262316,2026-03-22,2026-04-08,Delivered,Paid
SYSPO0000238,PO899929,SUP426147,WH922157,2025-12-05,2025-12-17,Delivered,Paid
SYSPO0000239,PO297816,SUP162535,WH322086,2026-02-07,2026-02-20,Delayed,Pending
SYSPO0000240,PO501574,SUP793655,WH262316,2025-08-09,2025-08-20,Delivered,Paid
SYSPO0000241,PO880879,SUP234628,WH356150,2025-09-14,2025-10-01,Delivered,Paid
SYSPO0000242,PO795928,SUP946721,WH526117,2026-07-28,2026-08-15,Processing,Pending
SYSPO0000243,PO259493,SUP888295,WH262316,2025-12-20,2025-12-29,Cancelled,Cancelled
SYSPO0000244,PO626690,SUP290556,WH324082,2026-07-09,2026-07-20,Delayed,Pending
SYSPO0000245,PO205239,SUP797229,WH922157,2026-06-20,2026-07-06,Delivered,Paid
SYSPO0000246,PO579123,SUP519066,WH599948,2026-06-11,2026-07-10,Delivered,Paid
SYSPO0000247,PO261859,SUP793655,WH832052,2025-11-29,2025-12-10,Delivered,Paid
SYSPO0000248,PO753534,SUP685181,WH771088,2025-11-02,2025-11-19,Delivered,Paid
SYSPO0000249,PO993744,SUP432043,WH532322,2025-08-24,2025-09-09,Delivered,Pending
SYSPO0000250,PO757246,SUP234628,WH690341,2025-11-03,2025-11-20,Delivered,Paid
SYSPO0000251,PO137642,SUP384076,WH112038,2026-07-08,2026-07-22,Delivered,Paid
SYSPO0000252,PO401338,SUP946721,WH654634,2026-03-10,2026-03-28,Delayed,Pending
SYSPO0000253,PO555052,SUP960394,WH262316,2025-09-01,2025-09-08,Delayed,Pending
SYSPO0000254,PO838083,SUP925981,WH539589,2025-09-04,2025-09-22,Delivered,Paid
SYSPO0000255,PO130353,SUP384076,WH212235,2026-05-13,2026-05-27,Delivered,Paid
SYSPO0000256,PO493049,SUP619389,WH324082,2026-02-06,2026-02-23,Delivered,Paid
SYSPO0000257,PO814919,SUP619389,WH662336,2026-06-14,2026-07-01,Delivered,Paid
SYSPO0000258,PO501126,SUP619389,WH654634,2025-08-28,2025-09-14,Delivered,Paid
SYSPO0000259,PO250069,SUP823846,WH824586,2026-05-24,2026-06-11,Delivered,Paid
SYSPO0000260,PO799233,SUP487477,WH781453,2026-02-24,2026-03-10,Delivered,Paid
SYSPO0000261,PO810526,SUP216970,WH958179,2026-05-26,2026-06-13,Delivered,Paid
SYSPO0000262,PO716113,SUP823846,WH233470,2025-09-19,2025-10-07,Delivered,Paid
SYSPO0000263,PO579027,SUP555052,WH771088,2025-09-20,2025-10-01,Delivered,Paid
SYSPO0000264,PO606680,SUP891937,WH539589,2026-04-15,2026-04-21,Delivered,Paid
SYSPO0000265,PO410244,SUP266931,WH100425,2026-02-02,2026-02-09,Delayed,Pending
SYSPO0000266,PO970357,SUP786735,WH599948,2026-03-03,2026-03-20,Delivered,Paid
SYSPO0000267,PO819112,SUP125611,WH997546,2025-10-05,2025-10-19,Delivered,Paid
SYSPO0000268,PO881369,SUP206851,WH322086,2025-11-12,2025-11-17,Delivered,Paid
SYSPO0000269,PO937665,SUP573489,WH519066,2026-02-22,2026-02-28,Delivered,Paid
SYSPO0000270,PO299367,SUP535020,WH262316,2026-07-06,2026-07-24,Delivered,Paid
SYSPO0000271,PO791201,SUP807617,WH482364,2026-03-25,2026-04-12,Delivered,Paid
SYSPO0000272,PO757937,SUP475190,WH205907,2026-01-13,2026-01-28,Delivered,Paid
SYSPO0000273,PO707727,SUP946721,WH771088,2025-10-23,2025-11-10,Delivered,Paid
SYSPO0000274,PO442589,SUP796212,WH112038,2026-07-28,2026-08-04,In Transit,Pending
SYSPO0000275,PO238579,SUP796212,WH482364,2026-02-27,2026-03-06,Delivered,Paid
SYSPO0000276,PO626169,SUP575755,WH429164,2026-05-22,2026-06-10,Delayed,Pending
SYSPO0000277,PO369452,SUP678043,WH781453,2026-05-12,2026-05-18,Delayed,Pending
SYSPO0000278,PO945664,SUP205907,WH658582,2026-04-26,2026-05-14,Delivered,Paid
SYSPO0000279,PO591081,SUP487477,WH412942,2025-10-19,2025-11-02,Delayed,Pending
SYSPO0000280,PO336574,SUP314181,WH824586,2026-05-05,2026-05-29,Delivered,Pending
SYSPO0000281,PO986827,SUP953085,WH816751,2025-12-01,2025-12-18,Delivered,Paid
SYSPO0000282,PO114594,SUP350405,WH412942,2026-01-03,2026-01-19,Delivered,Paid
SYSPO0000283,PO885395,SUP925981,WH329974,2026-04-19,2026-05-07,Delivered,Paid
SYSPO0000284,PO489518,SUP179046,WH958179,2026-04-11,2026-05-15,Delivered,Paid
SYSPO0000285,PO688678,SUP131244,WH356150,2025-12-25,2026-01-05,Delivered,Paid
SYSPO0000286,PO766269,SUP725550,WH212235,2026-01-19,2026-02-02,Delivered,Paid
SYSPO0000287,PO528129,SUP475876,WH930555,2026-07-17,2026-08-13,In Transit,Pending
SYSPO0000288,PO139019,SUP638169,WH322086,2026-02-19,2026-03-09,Delivered,Paid
