ShipmentSysID,ShipmentID,PurchaseOrderID,SupplierID,WarehouseID,ShipmentDate,ExpectedDeliveryDate,ActualDeliveryDate,Carrier,TransportMode,TrackingNumber,DistanceKM,TransitDays,DelayDays,ShipmentStatus,FreightCost
SYSSHP0000073,SHP0000073,PO804318,SUP717024,WH910891,2026-03-30,2026-04-14,2026-04-14,Shadowfax,Rail,TRK656152900,1410,8,0,Delivered,23770.06
SYSSHP0000074,SHP0000074,PO176066,SUP824156,WH262316,2026-07-11,2026-07-15,2026-07-15,FedEx,Road,TRK816806128,1441,9,0,Delivered,35528.81
SYSSHP0000075,SHP0000075,PO204837,SUP946721,WH662336,2026-07-03,2026-07-20,2026-07-20,Ecom Express,Road,TRK578796089,1444,9,0,Delivered,38245.84
SYSSHP0000076,SHP0000076,PO465962,SUP242254,WH686075,2025-12-20,2026-01-04,2026-01-04,Ecom Express,Road,TRK620332086,1272,8,0,Delivered,31970.12
SYSSHP0000077,SHP0000077,PO265409,SUP131244,WH771088,2026-03-16,2026-03-25,2026-03-25,DHL,Road,TRK443285529,862,5,0,Delivered,22812.95
SYSSHP0000078,SHP0000078,PO946305,SUP573489,WH422451,2025-10-15,2025-10-21,2025-10-21,Delhivery,Rail,TRK858511779,715,4,0,Delivered,11336.91
SYSSHP0000079,SHP0000079,PO956795,SUP797229,WH910891,2026-05-03,2026-05-18,2026-05-18,Blue Dart,Road,TRK322086735,530,4,0,Delivered,13867.16
SYSSHP0000080,SHP0000080,PO240814,SUP982554,WH656116,2025-08-31,2025-09-15,2025-09-16,Ecom Express,Road,TRK508431021,1097,6,1,Delayed,26750.23
SYSSHP0000081,SHP0000081,PO262998,SUP714953,WH824586,2025-08-20,2025-09-04,2025-09-06,Shadowfax,Road,TRK686405096,1020,5,2,Delayed,26519.33
SYSSHP0000082,SHP0000082,PO313487,SUP120422,WH376807,2026-04-16,2026-04-30,2026-04-30,FedEx,Road,TRK460916347,751,5,0,Delivered,19033.62
SYSSHP0000083,SHP0000083,PO363319,SUP975467,WH274389,2025-10-30,2025-11-05,2025-11-05,Delhivery,Road,TRK768143326,40,1,0,Delivered,986.82
SYSSHP0000084,SHP0000084,PO196781,SUP338533,WH429164,2026-05-31,2026-06-16,2026-06-16,FedEx,Road,TRK245706210,1106,4,0,Delivered,29125.69
SYSSHP0000085,SHP0000085,PO449759,SUP399105,WH356150,2025-11-23,2025-12-04,2025-12-04,DHL,Rail,TRK462388455,672,5,0,Delivered,12126.19
SYSSHP0000086,SHP0000086,PO877236,SUP770487,WH482364,2025-09-02,2025-09-13,2025-09-14,FedEx,Road,TRK370874491,20,2,1,Delayed,523.49
SYSSHP0000087,SHP0000087,PO217308,SUP131244,WH686075,2026-07-02,2026-07-11,2026-07-12,DHL,Rail,TRK340756713,1263,5,1,Delayed,22229.53
SYSSHP0000088,SHP0000088,PO672092,SUP340044,WH690341,2025-11-02,2025-11-04,2025-11-04,Delhivery,Road,TRK314061901,500,2,0,Delivered,13098.07
SYSSHP0000089,SHP0000089,PO550664,SUP965845,WH412942,2026-07-04,2026-07-22,2026-07-22,Ecom Express,Road,TRK334037646,1572,9,0,Delivered,38239.17
SYSSHP0000090,SHP0000090,PO934794,SUP923927,WH237174,2025-09-10,2025-10-01,2025-10-01,Shadowfax,Road,TRK871330207,824,6,0,Delivered,18599.88
SYSSHP0000091,SHP0000091,PO475190,SUP528361,WH654634,2025-12-27,2026-01-14,2026-01-14,DHL,Road,TRK718257024,635,6,0,Delivered,16120.58
SYSSHP0000092,SHP0000092,PO918011,SUP575755,WH958179,2025-11-19,2025-12-06,2025-12-06,Shadowfax,Road,TRK991819497,1068,4,0,Delivered,26845.47
SYSSHP0000093,SHP0000093,PO885884,SUP120422,WH460663,2026-01-26,2026-02-09,2026-02-09,Blue Dart,Road,TRK954942461,660,6,0,Delivered,17766.69
SYSSHP0000094,SHP0000094,PO938742,SUP522179,WH356150,2026-04-06,2026-04-22,2026-04-22,DHL,Road,TRK174041730,980,6,0,Delivered,24039.21
SYSSHP0000095,SHP0000095,PO872343,SUP475190,WH356150,2026-06-22,2026-07-06,2026-07-06,DHL,Rail,TRK782454310,998,5,0,Delivered,18529.17
SYSSHP0000096,SHP0000096,PO531712,SUP329974,WH191161,2025-12-21,2026-01-03,2026-01-03,Ecom Express,Road,TRK798423334,500,3,0,Delivered,11675.21
SYSSHP0000097,SHP0000097,PO379766,SUP437758,WH532322,2025-10-06,2025-10-16,2025-10-16,Shadowfax,Road,TRK736164778,25,2,0,Delivered,583.55
SYSSHP0000098,SHP0000098,PO140605,SUP953085,WH329974,2025-12-23,2026-01-09,2026-01-10,Delhivery,Road,TRK905817775,2420,8,1,Delayed,58862.97
SYSSHP0000099,SHP0000099,PO582662,SUP697530,WH100425,2025-12-18,2025-12-29,2025-12-29,DHL,Road,TRK295249057,1549,6,0,Delivered,37854.07
SYSSHP0000100,SHP0000100,PO333752,SUP725550,WH100425,2025-10-23,2025-11-05,2025-11-05,Ecom Express,Road,TRK852890318,840,5,0,Delivered,22176.45
SYSSHP0000101,SHP0000101,PO172792,SUP891937,WH519066,2026-04-21,2026-04-25,2026-04-25,Shadowfax,Road,TRK536398872,1190,4,0,Delivered,29087.04
SYSSHP0000102,SHP0000102,PO772642,SUP807617,WH191161,2025-11-13,2025-12-01,2025-12-01,Shadowfax,Road,TRK627015393,345,4,0,Delivered,8363.1
SYSSHP0000103,SHP0000103,PO447235,SUP913423,WH824586,2026-05-01,2026-05-16,2026-05-16,Shadowfax,Road,TRK361246928,335,3,0,Delivered,7882.9
SYSSHP0000104,SHP0000104,PO373903,SUP290556,WH112038,2026-08-01,2026-08-11,2026-08-11,FedEx,Road,TRK900942073,660,6,0,In Transit,16336.28
SYSSHP0000105,SHP0000105,PO378361,SUP717889,WH526117,2026-04-25,2026-05-12,2026-05-12,Delhivery,Road,TRK229553265,1080,5,0,Delivered,27654.94
SYSSHP0000106,SHP0000106,PO924629,SUP793655,WH373903,2026-04-12,2026-04-21,2026-04-21,Shadowfax,Road,TRK619904272,1410,7,0,Delivered,32969.32
SYSSHP0000107,SHP0000107,PO503906,SUP970127,WH324082,2025-08-31,2025-09-13,2025-09-16,Delhivery,Road,TRK418092217,1507,8,3,Delayed,34868.09
SYSSHP0000108,SHP0000108,PO557239,SUP953085,WH808011,2026-03-26,2026-04-12,2026-04-12,Blue Dart,Road,TRK694164665,1460,7,0,Delivered,34252.6
SYSSHP0000109,SHP0000109,PO854377,SUP437758,WH997546,2026-04-06,2026-04-17,2026-04-17,Ecom Express,Road,TRK405307028,558,2,0,Delivered,13585.62
SYSSHP0000110,SHP0000110,PO306606,SUP329974,WH658582,2025-10-07,2025-10-20,2025-10-20,FedEx,Road,TRK222500131,1202,8,0,Delivered,31384.92
SYSSHP0000111,SHP0000111,PO446239,SUP953085,WH112038,2026-02-25,2026-03-14,2026-03-14,Blue Dart,Road,TRK262915636,930,6,0,Delivered,21153.77
SYSSHP0000112,SHP0000112,PO414910,SUP131244,WH539589,2026-05-12,2026-05-23,2026-05-23,FedEx,Road,TRK751028618,1452,7,0,Delivered,36271.88
SYSSHP0000113,SHP0000113,PO831076,SUP514850,WH997546,2025-11-07,2025-11-18,2025-11-18,FedEx,Road,TRK583736219,345,2,0,Delivered,9157.17
SYSSHP0000114,SHP0000114,PO497562,SUP575755,WH539589,2025-10-05,2025-10-23,2025-10-23,Blue Dart,Road,TRK754586204,908,5,0,Delivered,24334.89
SYSSHP0000115,SHP0000115,PO415568,SUP475190,WH100425,2026-01-28,2026-02-12,2026-02-12,Shadowfax,Rail,TRK187174381,530,4,0,Delivered,8282.96
SYSSHP0000116,SHP0000116,PO320392,SUP120422,WH539589,2025-12-27,2026-01-11,2026-01-11,FedEx,Road,TRK840206617,660,4,0,Delivered,16479.58
SYSSHP0000117,SHP0000117,PO587575,SUP757937,WH356150,2025-11-14,2025-11-20,2025-11-20,Shadowfax,Road,TRK587512424,2150,8,0,Delivered,48065.18
SYSSHP0000118,SHP0000118,PO932291,SUP529893,WH519066,2026-07-29,2026-08-17,2026-08-17,Delhivery,Road,TRK556489494,778,6,0,In Transit,17562.48
SYSSHP0000119,SHP0000119,PO277934,SUP270395,WH740967,2026-04-08,2026-04-23,2026-04-23,Delhivery,Road,TRK951078441,760,4,0,Delivered,17888.92
SYSSHP0000120,SHP0000120,PO749342,SUP575755,WH356150,2026-04-28,2026-05-15,2026-05-15,FedEx,Road,TRK233523720,365,4,0,Delivered,8885.37
SYSSHP0000121,SHP0000121,PO805477,SUP216970,WH801474,2026-03-07,2026-03-24,2026-03-24,DHL,Road,TRK637377910,345,4,0,Delivered,8521.47
SYSSHP0000122,SHP0000122,PO148458,SUP162535,WH785197,2025-10-26,2025-11-08,2025-11-08,Ecom Express,Rail,TRK368830491,1196,5,0,Delivered,18063.74
SYSSHP0000123,SHP0000123,PO176365,SUP960394,WH555884,2026-04-26,2026-05-01,2026-05-02,Shadowfax,Road,TRK981994345,768,6,1,Delayed,17930.92
SYSSHP0000124,SHP0000124,PO853240,SUP913423,WH808011,2025-12-05,2025-12-20,2025-12-20,FedEx,Road,TRK398668350,382,3,0,Delivered,8750.64
SYSSHP0000125,SHP0000125,PO787926,SUP600149,WH636265,2026-06-27,2026-07-13,2026-07-14,FedEx,Road,TRK473620340,1460,9,1,Delayed,35100.94
SYSSHP0000126,SHP0000126,PO211764,SUP437758,WH519066,2026-05-27,2026-06-08,2026-06-08,FedEx,Road,TRK409471503,957,5,0,Delivered,24224.46
SYSSHP0000127,SHP0000127,PO829716,SUP432043,WH174441,2026-06-01,2026-06-15,2026-06-15,DHL,Road,TRK371011200,1120,4,0,Delivered,26450.33
SYSSHP0000128,SHP0000128,PO989545,SUP475190,WH832052,2025-08-23,2025-09-07,2025-09-10,FedEx,Road,TRK543721204,1127,6,3,Delayed,25099.44
SYSSHP0000129,SHP0000129,PO656932,SUP824586,WH816751,2025-10-30,2025-11-14,2025-11-14,Delhivery,Road,TRK386749454,1361,9,0,Delivered,33679.44
SYSSHP0000130,SHP0000130,PO891937,SUP399105,WH262316,2026-06-19,2026-06-29,2026-06-29,Shadowfax,Road,TRK753770973,889,5,0,Delivered,23110.95
SYSSHP0000131,SHP0000131,PO629298,SUP314181,WH922157,2025-08-16,2025-09-07,2025-09-07,Blue Dart,Road,TRK341270488,1753,6,0,Delivered,47263.13
SYSSHP0000132,SHP0000132,PO266889,SUP982554,WH324082,2026-06-11,2026-06-27,2026-06-27,Delhivery,Road,TRK635126623,18,1,0,Delivered,479.94
SYSSHP0000133,SHP0000133,PO359249,SUP824586,WH174441,2025-12-03,2025-12-18,2025-12-18,FedEx,Road,TRK361704064,897,5,0,Delivered,21782.69
SYSSHP0000134,SHP0000134,PO608136,SUP377405,WH515011,2026-01-04,2026-02-05,2026-02-05,DHL,Road,TRK929653607,2180,7,0,Delivered,56571.07
SYSSHP0000135,SHP0000135,PO399607,SUP943718,WH922157,2025-11-15,2025-11-19,2025-11-20,DHL,Road,TRK879591310,1149,5,1,Delayed,26993.2
SYSSHP0000136,SHP0000136,PO184491,SUP290556,WH829716,2025-08-29,2025-09-07,2025-09-07,FedEx,Road,TRK678296492,1502,9,0,Delivered,36681.4
SYSSHP0000137,SHP0000137,PO840734,SUP290556,WH686075,2025-10-24,2025-11-02,2025-11-02,DHL,Road,TRK302563940,980,5,0,Delivered,26365.8
SYSSHP0000138,SHP0000138,PO588557,SUP725550,WH785197,2026-07-22,2026-08-05,2026-08-05,Shadowfax,Road,TRK607854378,789,5,0,In Transit,20140.12
SYSSHP0000139,SHP0000139,PO540552,SUP329974,WH690341,2026-03-11,2026-03-23,2026-03-24,Shadowfax,Road,TRK263321843,40,2,1,Delayed,979.07
SYSSHP0000140,SHP0000140,PO120480,SUP426147,WH636265,2026-07-10,2026-07-20,2026-07-20,FedEx,Rail,TRK207064620,2180,7,0,Delivered,37286.29
SYSSHP0000141,SHP0000141,PO106182,SUP162535,WH922157,2026-05-07,2026-05-20,2026-05-20,Delhivery,Rail,TRK180346223,1235,8,0,Delivered,20844.28
SYSSHP0000142,SHP0000142,PO508930,SUP498382,WH380746,2025-12-03,2025-12-24,2025-12-24,DHL,Road,TRK824085842,1460,9,0,Delivered,38393.2
SYSSHP0000143,SHP0000143,PO883826,SUP492483,WH356150,2025-10-25,2025-11-10,2025-11-10,FedEx,Road,TRK680911523,1078,6,0,Delivered,23909.5
SYSSHP0000144,SHP0000144,PO611945,SUP399105,WH686075,2026-04-13,2026-04-25,2026-04-25,DHL,Road,TRK344261532,440,4,0,Delivered,11322.89
SYSSHP0000145,SHP0000145,PO452457,SUP943298,WH686075,2026-02-12,2026-02-23,2026-02-23,Shadowfax,Road,TRK207918827,345,2,0,Delivered,8355.35
SYSSHP0000146,SHP0000146,PO981334,SUP717889,WH816751,2026-01-02,2026-01-20,2026-01-20,Blue Dart,Road,TRK415001254,930,4,0,Delivered,22126.85
SYSSHP0000147,SHP0000147,PO128276,SUP216970,WH910891,2026-07-11,2026-07-29,2026-07-29,Shadowfax,Road,TRK950961305,980,6,0,Delivered,22442.28
SYSSHP0000148,SHP0000148,PO795205,SUP500156,WH237174,2026-07-24,2026-08-05,2026-08-05,FedEx,Rail,TRK726160204,658,6,0,In Transit,10246.69
SYSSHP0000149,SHP0000149,PO242291,SUP233827,WH832052,2026-04-09,2026-04-22,2026-04-22,DHL,Road,TRK816014770,345,4,0,Delivered,7606.21
SYSSHP0000150,SHP0000150,PO443254,SUP888295,WH112038,2026-01-29,2026-02-05,2026-02-05,DHL,Road,TRK730900313,1252,7,0,Delivered,29416.71
SYSSHP0000151,SHP0000151,PO497542,SUP350405,WH373903,2025-09-28,2025-10-12,2025-10-14,DHL,Road,TRK313907621,980,5,2,Delayed,26456.93
SYSSHP0000152,SHP0000152,PO975467,SUP725550,WH377746,2025-11-12,2025-11-26,2025-11-26,DHL,Road,TRK717199615,1080,4,0,Delivered,25357.71
SYSSHP0000153,SHP0000153,PO665621,SUP600149,WH532322,2025-09-25,2025-10-13,2025-10-17,Blue Dart,Road,TRK707661655,1460,9,4,Delayed,38434.99
SYSSHP0000154,SHP0000154,PO171951,SUP432043,WH205907,2025-11-07,2025-11-21,2025-11-21,DHL,Road,TRK932945529,400,4,0,Delivered,10397.72
SYSSHP0000155,SHP0000155,PO359295,SUP946721,WH820221,2026-05-19,2026-06-05,2026-06-05,Ecom Express,Road,TRK369108475,34,1,0,Delivered,863.22
SYSSHP0000156,SHP0000156,PO259784,SUP555052,WH771088,2026-03-10,2026-03-19,2026-03-19,Shadowfax,Road,TRK794002948,38,1,0,Delivered,843.49
SYSSHP0000157,SHP0000157,PO328552,SUP943298,WH429164,2026-02-28,2026-03-11,2026-03-11,DHL,Rail,TRK450811990,1202,6,0,Delivered,21623.89
SYSSHP0000158,SHP0000158,PO735324,SUP714953,WH636265,2025-11-12,2025-11-28,2025-11-28,DHL,Road,TRK991713190,2420,8,0,Delivered,55230.99
SYSSHP0000159,SHP0000159,PO959099,SUP717024,WH539589,2026-05-20,2026-06-03,2026-06-03,DHL,Road,TRK963538119,930,5,0,Delivered,20995.54
