PurchaseOrderItemSysID,PurchaseOrderItemID,PurchaseOrderID,ProductID,QuantityOrdered,ReceivedQuantity,AcceptedQuantity,QuotedUnitCost,TotalItemCost,InspectionStatus,LineAmountBeforeTax,TaxRate,TaxAmount,LineAmountAfterTax
SYSPOI0000095,POI870763,PO864544,PROD731977,457,443,438,813.41,371728.37,Passed with Observations,371728.37,12,44607.4,416335.77
SYSPOI0000096,POI213346,PO864544,PROD526949,808,808,797,378.97,306207.76,Passed with Observations,306207.76,5,15310.39,321518.15
SYSPOI0000097,POI956253,PO864544,PROD722780,275,267,265,481.41,132387.75,Passed with Observations,132387.75,12,15886.53,148274.28
SYSPOI0000098,POI933980,PO864544,PROD374267,39,39,39,102526.18,3998521.02,Passed,3998521.02,18,719733.78,4718254.8
SYSPOI0000099,POI517821,PO864544,PROD824586,196,196,194,469.05,91933.8,Passed with Observations,91933.8,12,11032.06,102965.86
SYSPOI0000100,POI634150,PO771088,PROD874814,442,399,395,730.25,322770.5,Passed with Observations,322770.5,5,16138.52,338909.02
SYSPOI0000101,POI447235,PO771088,PROD855944,1118,1118,1078,275.91,308467.38,Passed with Observations,308467.38,12,37016.09,345483.47
SYSPOI0000102,POI287241,PO771088,PROD373903,356,356,351,1103.83,392963.48,Passed with Observations,392963.48,5,19648.17,412611.65
SYSPOI0000103,POI725550,PO771088,PROD986278,28,25,25,87019.85,2436555.8,Passed,2436555.8,18,438580.04,2875135.84
SYSPOI0000104,POI557592,PO771088,PROD308727,23,23,23,82840.05,1905321.15,Passed,1905321.15,18,342957.81,2248278.96
SYSPOI0000105,POI367095,PO905635,PROD401601,139,139,130,251.82,35002.98,Failed,35002.98,12,4200.36,39203.34
SYSPOI0000106,POI945687,PO905635,PROD656116,102,102,97,1355.39,138249.78,Passed with Observations,138249.78,12,16589.97,154839.75
SYSPOI0000107,POI872840,PO905635,PROD962287,1402,1402,1280,64.84,90905.68,Failed,90905.68,12,10908.68,101814.36
SYSPOI0000108,POI796503,PO905635,PROD878967,423,423,408,1674.98,708516.54,Passed with Observations,708516.54,12,85021.98,793538.52
SYSPOI0000109,POI230679,PO905635,PROD496764,249,249,233,1582.21,393970.29,Failed,393970.29,12,47276.43,441246.72
SYSPOI0000110,POI528231,PO905635,PROD159532,448,431,421,495.56,222010.88,Passed with Observations,222010.88,12,26641.31,248652.19
SYSPOI0000111,POI233470,PO905635,PROD975679,247,247,235,2203.97,544380.59,Passed with Observations,544380.59,12,65325.67,609706.26
SYSPOI0000112,POI415568,PO430776,PROD655178,420,414,386,736.56,309355.2,Failed,309355.2,12,37122.62,346477.82
SYSPOI0000113,POI400850,PO430776,PROD253300,287,287,279,172.68,49559.16,Passed with Observations,49559.16,12,5947.1,55506.26
SYSPOI0000114,POI786508,PO430776,PROD891030,187,187,174,147.72,27623.64,Failed,27623.64,12,3314.84,30938.48
SYSPOI0000115,POI324082,PO430776,PROD275377,244,244,234,211.82,51684.08,Passed with Observations,51684.08,12,6202.09,57886.17
SYSPOI0000116,POI397571,PO694731,PROD728437,35,34,33,51429.2,1800022.0,Passed with Observations,1800022.0,18,324003.96,2124025.96
SYSPOI0000117,POI197923,PO694731,PROD966529,26,26,25,61588.57,1601302.82,Passed with Observations,1601302.82,18,288234.51,1889537.33
SYSPOI0000118,POI335552,PO694731,PROD671858,499,455,418,688.98,343801.02,Failed,343801.02,12,41256.12,385057.14
SYSPOI0000119,POI356736,PO694731,PROD586819,492,492,471,633.29,311578.68,Passed with Observations,311578.68,12,37389.44,348968.12
SYSPOI0000120,POI577538,PO694731,PROD655178,323,323,309,749.37,242046.51,Passed with Observations,242046.51,12,29045.58,271092.09
SYSPOI0000121,POI502630,PO694731,PROD434640,23,22,20,77707.58,1787274.34,Failed,1787274.34,18,321709.38,2108983.72
SYSPOI0000122,POI821024,PO694731,PROD731977,333,333,314,739.98,246413.34,Failed,246413.34,12,29569.6,275982.94
SYSPOI0000123,POI943170,PO514850,PROD451470,474,460,449,1286.1,609611.4,Passed with Observations,609611.4,12,73153.37,682764.77
SYSPOI0000124,POI684482,PO514850,PROD533911,40,40,38,74907.09,2996283.6,Passed with Observations,2996283.6,18,539331.05,3535614.65
SYSPOI0000125,POI940346,PO514850,PROD975679,207,205,197,2287.56,473524.92,Passed with Observations,473524.92,12,56822.99,530347.91
SYSPOI0000126,POI891937,PO246413,PROD745972,1387,1228,1195,67.57,93719.59,Passed with Observations,93719.59,12,11246.35,104965.94
SYSPOI0000127,POI629298,PO246413,PROD780027,38,38,37,81320.41,3090175.58,Passed with Observations,3090175.58,18,556231.6,3646407.18
SYSPOI0000128,POI879779,PO246413,PROD409571,23,22,22,106221.94,2443104.62,Passed,2443104.62,18,439758.83,2882863.45
SYSPOI0000129,POI980660,PO246413,PROD350905,1272,1272,1240,195.98,249286.56,Passed with Observations,249286.56,5,12464.33,261750.89
SYSPOI0000130,POI608136,PO246413,PROD818699,30,30,29,61446.54,1843396.2,Passed with Observations,1843396.2,18,331811.32,2175207.52
SYSPOI0000131,POI848206,PO246413,PROD446479,400,400,391,137.45,54980.0,Passed with Observations,54980.0,12,6597.6,61577.6
SYSPOI0000132,POI184491,PO712982,PROD851763,18,18,17,25550.12,459902.16,Failed,459902.16,18,82782.39,542684.55
SYSPOI0000133,POI260227,PO712982,PROD707314,583,583,575,164.4,95845.2,Passed with Observations,95845.2,12,11501.42,107346.62
SYSPOI0000134,POI668969,PO712982,PROD593554,738,738,725,213.73,157732.74,Passed with Observations,157732.74,12,18927.93,176660.67
SYSPOI0000135,POI540552,PO712982,PROD123682,1254,1254,1229,49.98,62674.92,Passed with Observations,62674.92,12,7520.99,70195.91
SYSPOI0000136,POI120480,PO712982,PROD776364,279,269,264,685.09,191140.11,Passed with Observations,191140.11,12,22936.81,214076.92
SYSPOI0000137,POI890075,PO245051,PROD666432,25,25,23,59028.97,1475724.25,Failed,1475724.25,18,265630.36,1741354.61
SYSPOI0000138,POI870319,PO245051,PROD553014,279,272,263,360.37,100543.23,Passed with Observations,100543.23,12,12065.19,112608.42
SYSPOI0000139,POI386193,PO245051,PROD670968,1418,1389,1350,882.92,1251980.56,Passed with Observations,1251980.56,5,62599.03,1314579.59
SYSPOI0000140,POI801364,PO245051,PROD376807,303,303,286,259.45,78613.35,Failed,78613.35,12,9433.6,88046.95
SYSPOI0000141,POI233827,PO245051,PROD400814,31,30,29,119366.18,3700351.58,Passed with Observations,3700351.58,18,666063.28,4366414.86
SYSPOI0000142,POI691807,PO245051,PROD565765,1393,1393,1324,962.72,1341068.96,Passed with Observations,1341068.96,5,67053.45,1408122.41
SYSPOI0000143,POI242291,PO245051,PROD776909,419,419,407,1218.2,510425.8,Passed with Observations,510425.8,12,61251.1,571676.9
SYSPOI0000144,POI576786,PO214975,PROD716493,402,402,389,496.23,199484.46,Passed with Observations,199484.46,5,9974.22,209458.68
SYSPOI0000145,POI391773,PO214975,PROD456871,969,969,888,182.6,176939.4,Failed,176939.4,5,8846.97,185786.37
SYSPOI0000146,POI185884,PO214975,PROD272129,465,412,394,381.76,177518.4,Passed with Observations,177518.4,12,21302.21,198820.61
SYSPOI0000147,POI466960,PO214975,PROD494956,1263,1263,1167,680.98,860077.74,Failed,860077.74,5,43003.89,903081.63
SYSPOI0000148,POI783414,PO214975,PROD514913,759,759,724,194.63,147724.17,Passed with Observations,147724.17,5,7386.21,155110.38
SYSPOI0000149,POI121369,PO214975,PROD599127,100,98,93,432.46,43246.0,Failed,43246.0,12,5189.52,48435.52
SYSPOI0000150,POI691364,PO725380,PROD817644,202,202,194,186.13,37598.26,Passed with Observations,37598.26,12,4511.79,42110.05
SYSPOI0000151,POI486814,PO725380,PROD517568,746,746,720,412.14,307456.44,Passed with Observations,307456.44,5,15372.82,322829.26
SYSPOI0000152,POI853252,PO725380,PROD939717,165,165,154,106.93,17643.45,Failed,17643.45,12,2117.21,19760.66
SYSPOI0000153,POI213349,PO725380,PROD473023,138,136,126,58.05,8010.9,Failed,8010.9,12,961.31,8972.21
SYSPOI0000154,POI810250,PO725380,PROD564586,376,376,357,1486.23,558822.48,Failed,558822.48,12,67058.7,625881.18
SYSPOI0000155,POI179688,PO725380,PROD540208,1068,1068,1017,279.15,298132.2,Passed with Observations,298132.2,5,14906.61,313038.81
SYSPOI0000156,POI991597,PO725380,PROD381444,797,797,761,245.66,195791.02,Passed with Observations,195791.02,5,9789.55,205580.57
SYSPOI0000157,POI920652,PO654816,PROD572407,35,35,34,97808.4,3423294.0,Passed with Observations,3423294.0,18,616192.92,4039486.92
SYSPOI0000158,POI488571,PO654816,PROD670968,384,384,378,929.23,356824.32,Passed with Observations,356824.32,5,17841.22,374665.54
SYSPOI0000159,POI990844,PO654816,PROD399105,441,441,437,1085.62,478758.42,Passed with Observations,478758.42,5,23937.92,502696.34
SYSPOI0000160,POI479781,PO654816,PROD786224,1160,1153,1135,1126.04,1306206.4,Passed with Observations,1306206.4,5,65310.32,1371516.72
SYSPOI0000161,POI556641,PO654816,PROD478427,405,390,386,294.16,119134.8,Passed with Observations,119134.8,12,14296.18,133430.98
SYSPOI0000162,POI383201,PO654816,PROD426147,170,170,164,775.64,131858.8,Passed with Observations,131858.8,12,15823.06,147681.86
SYSPOI0000163,POI587455,PO654816,PROD605065,395,377,364,194.46,76811.7,Passed with Observations,76811.7,12,9217.4,86029.1
SYSPOI0000164,POI357420,PO654816,PROD576919,23,22,22,126679.22,2913622.06,Passed,2913622.06,18,524451.97,3438074.03
SYSPOI0000165,POI739979,PO813328,PROD740725,310,310,291,2038.76,632015.6,Failed,632015.6,12,75841.87,707857.47
SYSPOI0000166,POI440802,PO813328,PROD302897,1076,1076,1040,235.47,253365.72,Passed with Observations,253365.72,5,12668.29,266034.01
SYSPOI0000167,POI370902,PO813328,PROD381607,672,672,647,378.76,254526.72,Passed with Observations,254526.72,5,12726.34,267253.06
SYSPOI0000168,POI110644,PO379786,PROD644559,385,385,381,219.52,84515.2,Passed with Observations,84515.2,12,10141.82,94657.02
SYSPOI0000169,POI526170,PO379786,PROD468900,344,341,337,301.3,103647.2,Passed with Observations,103647.2,12,12437.66,116084.86
SYSPOI0000170,POI599219,PO379786,PROD975679,330,330,326,2399.17,791726.1,Passed with Observations,791726.1,12,95007.13,886733.23
SYSPOI0000171,POI118080,PO379786,PROD851413,410,410,401,1714.05,702760.5,Passed with Observations,702760.5,12,84331.26,787091.76
SYSPOI0000172,POI355123,PO379786,PROD666432,12,12,12,63953.13,767437.56,Passed,767437.56,18,138138.76,905576.32
SYSPOI0000173,POI460455,PO265840,PROD927630,1491,1491,1460,321.92,479982.72,Passed with Observations,479982.72,5,23999.14,503981.86
SYSPOI0000174,POI836996,PO265840,PROD188834,23,20,20,61007.08,1403162.84,Passed,1403162.84,18,252569.31,1655732.15
SYSPOI0000175,POI226516,PO265840,PROD986278,24,24,24,87019.85,2088476.4,Passed,2088476.4,18,375925.75,2464402.15
SYSPOI0000176,POI899213,PO265840,PROD978292,694,694,679,722.34,501303.96,Passed with Observations,501303.96,5,25065.2,526369.16
SYSPOI0000177,POI389930,PO265840,PROD392670,679,679,659,209.95,142556.05,Passed with Observations,142556.05,5,7127.8,149683.85
SYSPOI0000178,POI205409,PO376183,PROD130914,1374,0,0,993.46,1365014.04,Not Inspected,1365014.04,5,68250.7,1433264.74
SYSPOI0000179,POI478411,PO376183,PROD399105,697,0,0,1085.62,756677.14,Not Inspected,756677.14,5,37833.86,794511.0
SYSPOI0000180,POI842411,PO376183,PROD426147,171,0,0,775.64,132634.44,Not Inspected,132634.44,12,15916.13,148550.57
SYSPOI0000181,POI147726,PO376183,PROD927630,1393,0,0,327.62,456374.66,Not Inspected,456374.66,5,22818.73,479193.39
SYSPOI0000182,POI831295,PO376183,PROD630041,11,0,0,55483.79,610321.69,Not Inspected,610321.69,18,109857.9,720179.59
SYSPOI0000183,POI889359,PO376183,PROD999398,40,0,0,80500.17,3220006.8,Not Inspected,3220006.8,18,579601.22,3799608.02
SYSPOI0000184,POI112861,PO376183,PROD434640,25,0,0,83023.82,2075595.5,Not Inspected,2075595.5,18,373607.19,2449202.69
SYSPOI0000185,POI601968,PO376183,PROD576919,28,0,0,126679.22,3547018.16,Not Inspected,3547018.16,18,638463.27,4185481.43
SYSPOI0000186,POI364742,PO632342,PROD350484,174,0,0,1004.26,174741.24,Not Inspected,174741.24,12,20968.95,195710.19
SYSPOI0000187,POI168517,PO632342,PROD375097,324,0,0,350.92,113698.08,Not Inspected,113698.08,12,13643.77,127341.85
SYSPOI0000188,POI705050,PO632342,PROD302897,1120,0,0,235.47,263726.4,Not Inspected,263726.4,5,13186.32,276912.72
SYSPOI0000189,POI259097,PO632342,PROD982885,402,0,0,104.62,42057.24,Not Inspected,42057.24,12,5046.87,47104.11
SYSPOI0000190,POI418594,PO632342,PROD158896,605,0,0,106.29,64305.45,Not Inspected,64305.45,12,7716.65,72022.1
SYSPOI0000191,POI224205,PO632342,PROD740725,123,0,0,2038.76,250767.48,Not Inspected,250767.48,12,30092.1,280859.58
SYSPOI0000192,POI913373,PO412942,PROD881886,29,29,27,112041.41,3249200.89,Failed,3249200.89,18,584856.16,3834057.05
SYSPOI0000193,POI411797,PO412942,PROD262325,347,347,318,914.18,317220.46,Failed,317220.46,12,38066.46,355286.92
SYSPOI0000194,POI163156,PO412942,PROD553014,381,340,315,367.89,140166.09,Failed,140166.09,12,16819.93,156986.02
SYSPOI0000195,POI377501,PO412942,PROD189856,503,496,479,807.36,406102.08,Passed with Observations,406102.08,5,20305.1,426407.18
SYSPOI0000196,POI178711,PO412942,PROD729371,466,466,442,380.06,177107.96,Failed,177107.96,5,8855.4,185963.36
SYSPOI0000197,POI722656,PO412942,PROD812591,620,620,597,366.76,227391.2,Passed with Observations,227391.2,5,11369.56,238760.76
SYSPOI0000198,POI841296,PO412942,PROD581532,1262,1262,1217,864.36,1090822.32,Passed with Observations,1090822.32,5,54541.12,1145363.44
SYSPOI0000199,POI377405,PO492077,PROD860242,312,312,309,820.55,256011.6,Passed with Observations,256011.6,12,30721.39,286732.99
SYSPOI0000200,POI779094,PO492077,PROD940247,705,705,693,39.14,27593.7,Passed with Observations,27593.7,12,3311.24,30904.94
SYSPOI0000201,POI162535,PO492077,PROD933197,156,149,148,1026.23,160091.88,Passed with Observations,160091.88,12,19211.03,179302.91
SYSPOI0000202,POI591465,PO492077,PROD275377,164,159,155,223.56,36663.84,Passed with Observations,36663.84,12,4399.66,41063.5
SYSPOI0000203,POI385470,PO492077,PROD558723,432,432,421,887.6,383443.2,Passed with Observations,383443.2,12,46013.18,429456.38
SYSPOI0000204,POI727086,PO656116,PROD851413,332,0,0,1714.05,569064.6,Not Inspected,569064.6,12,68287.75,637352.35
SYSPOI0000205,POI870214,PO656116,PROD729371,381,0,0,414.69,157996.89,Not Inspected,157996.89,5,7899.84,165896.73
SYSPOI0000206,POI127121,PO656116,PROD644559,245,0,0,219.52,53782.4,Not Inspected,53782.4,12,6453.89,60236.29
SYSPOI0000207,POI807053,PO656116,PROD399105,487,0,0,1105.3,538281.1,Not Inspected,538281.1,5,26914.06,565195.16
