WeatherSysID,WeatherID,City,State,Date,TemperatureC,HumidityPercent,RainfallMM,WindSpeedKmph,WeatherCondition,WeatherSeverity
SYSWEA0000063,WTH688153,Nagpur,Maharashtra,2023-01-05,17,51,4,18,Sunny,Normal
SYSWEA0000064,WTH672092,Mangalore,Karnataka,2023-01-05,21,70,0,9,Fog,Moderate
SYSWEA0000065,WTH233636,Coimbatore,Tamil Nadu,2023-01-05,23,57,0,18,Sunny,Normal
SYSWEA0000066,WTH475190,New Delhi,Delhi,2023-01-06,12,37,0,6,Fog,Moderate
SYSWEA0000067,WTH918011,Mumbai,Maharashtra,2023-01-06,30,78,0,16,Cloudy,Normal
SYSWEA0000068,WTH348237,Bengaluru,Karnataka,2023-01-06,28,85,0,9,Rain,Moderate
SYSWEA0000069,WTH920391,Chennai,Tamil Nadu,2023-01-06,23,70,0,15,Sunny,Normal
SYSWEA0000070,WTH501124,Ahmedabad,Gujarat,2023-01-06,19,61,0,8,Sunny,Normal
SYSWEA0000071,WTH466643,Noida,Uttar Pradesh,2023-01-06,8,90,0,19,Sunny,Normal
SYSWEA0000072,WTH517821,Pune,Maharashtra,2023-01-06,27,69,0,11,Sunny,Normal
SYSWEA0000073,WTH468203,Ghaziabad,Uttar Pradesh,2023-01-06,12,56,0,13,Rain,Moderate
SYSWEA0000074,WTH128941,Lucknow,Uttar Pradesh,2023-01-06,17,81,0,15,Cloudy,Normal
SYSWEA0000075,WTH140115,Kanpur,Uttar Pradesh,2023-01-06,12,47,0,13,Sunny,Normal
SYSWEA0000076,WTH557592,Nagpur,Maharashtra,2023-01-06,25,41,0,15,Cloudy,Normal
SYSWEA0000077,WTH367095,Mangalore,Karnataka,2023-01-06,28,89,0,11,Sunny,Normal
SYSWEA0000078,WTH481913,Coimbatore,Tamil Nadu,2023-01-06,29,57,0,11,Sunny,Normal
SYSWEA0000079,WTH795612,New Delhi,Delhi,2023-01-07,9,62,2,15,Fog,Moderate
SYSWEA0000080,WTH442027,Mumbai,Maharashtra,2023-01-07,31,72,0,18,Sunny,Normal
SYSWEA0000081,WTH540869,Bengaluru,Karnataka,2023-01-07,26,75,0,11,Sunny,Normal
SYSWEA0000082,WTH525800,Chennai,Tamil Nadu,2023-01-07,31,84,4,14,Fog,Moderate
SYSWEA0000083,WTH923927,Ahmedabad,Gujarat,2023-01-07,12,70,0,18,Sunny,Normal
SYSWEA0000084,WTH563638,Noida,Uttar Pradesh,2023-01-07,17,72,2,19,Sunny,Normal
SYSWEA0000085,WTH790855,Pune,Maharashtra,2023-01-07,17,93,0,10,Sunny,Normal
SYSWEA0000086,WTH197923,Ghaziabad,Uttar Pradesh,2023-01-07,12,40,0,15,Cloudy,Normal
SYSWEA0000087,WTH254511,Lucknow,Uttar Pradesh,2023-01-07,12,88,2,11,Sunny,Normal
SYSWEA0000088,WTH577538,Kanpur,Uttar Pradesh,2023-01-07,8,41,0,7,Rain,Moderate
SYSWEA0000089,WTH519066,Nagpur,Maharashtra,2023-01-07,18,61,4,20,Cloudy,Normal
SYSWEA0000090,WTH916232,Mangalore,Karnataka,2023-01-07,22,77,2,8,Cloudy,Normal
SYSWEA0000091,WTH152657,Coimbatore,Tamil Nadu,2023-01-07,21,82,0,19,Fog,Moderate
SYSWEA0000092,WTH800005,New Delhi,Delhi,2023-01-08,11,70,0,19,Sunny,Normal
SYSWEA0000093,WTH742412,Mumbai,Maharashtra,2023-01-08,28,98,0,19,Sunny,Normal
SYSWEA0000094,WTH879779,Bengaluru,Karnataka,2023-01-08,21,82,0,10,Sunny,Normal
SYSWEA0000095,WTH903013,Chennai,Tamil Nadu,2023-01-08,28,90,0,13,Cloudy,Normal
SYSWEA0000096,WTH561239,Ahmedabad,Gujarat,2023-01-08,28,84,0,13,Cloudy,Normal
SYSWEA0000097,WTH435239,Noida,Uttar Pradesh,2023-01-08,19,39,0,15,Sunny,Normal
SYSWEA0000098,WTH827659,Pune,Maharashtra,2023-01-08,15,84,0,17,Sunny,Normal
SYSWEA0000099,WTH446954,Ghaziabad,Uttar Pradesh,2023-01-08,19,44,0,18,Sunny,Normal
SYSWEA0000100,WTH508396,Lucknow,Uttar Pradesh,2023-01-08,16,74,0,18,Sunny,Normal
SYSWEA0000101,WTH600149,Kanpur,Uttar Pradesh,2023-01-08,17,89,4,17,Sunny,Normal
SYSWEA0000102,WTH664365,Nagpur,Maharashtra,2023-01-08,23,35,0,18,Cloudy,Normal
SYSWEA0000103,WTH611945,Mangalore,Karnataka,2023-01-08,31,93,0,12,Fog,Moderate
SYSWEA0000104,WTH452457,Coimbatore,Tamil Nadu,2023-01-08,22,69,0,17,Sunny,Normal
SYSWEA0000105,WTH233827,New Delhi,Delhi,2023-01-09,18,77,0,19,Cloudy,Normal
SYSWEA0000106,WTH188025,Mumbai,Maharashtra,2023-01-09,26,66,0,5,Sunny,Normal
SYSWEA0000107,WTH152727,Bengaluru,Karnataka,2023-01-09,21,91,0,10,Fog,Moderate
SYSWEA0000108,WTH453894,Chennai,Tamil Nadu,2023-01-09,27,76,0,15,Sunny,Normal
SYSWEA0000109,WTH364525,Ahmedabad,Gujarat,2023-01-09,24,83,0,18,Cloudy,Normal
SYSWEA0000110,WTH466960,Noida,Uttar Pradesh,2023-01-09,9,88,0,6,Sunny,Normal
SYSWEA0000111,WTH890870,Pune,Maharashtra,2023-01-09,24,64,0,6,Fog,Moderate
SYSWEA0000112,WTH350132,Ghaziabad,Uttar Pradesh,2023-01-09,11,36,0,9,Fog,Moderate
SYSWEA0000113,WTH587623,Lucknow,Uttar Pradesh,2023-01-09,16,48,2,11,Sunny,Normal
SYSWEA0000114,WTH915573,Kanpur,Uttar Pradesh,2023-01-09,12,84,0,8,Sunny,Normal
SYSWEA0000115,WTH427110,Nagpur,Maharashtra,2023-01-09,17,87,0,5,Sunny,Normal
SYSWEA0000116,WTH179688,Mangalore,Karnataka,2023-01-09,30,88,0,11,Sunny,Normal
SYSWEA0000117,WTH991597,Coimbatore,Tamil Nadu,2023-01-09,29,92,2,14,Sunny,Normal
SYSWEA0000118,WTH464069,New Delhi,Delhi,2023-01-10,17,78,0,6,Fog,Moderate
SYSWEA0000119,WTH113266,Mumbai,Maharashtra,2023-01-10,30,92,0,15,Sunny,Normal
SYSWEA0000120,WTH766459,Bengaluru,Karnataka,2023-01-10,28,76,0,16,Sunny,Normal
SYSWEA0000121,WTH745830,Chennai,Tamil Nadu,2023-01-10,23,89,0,13,Sunny,Normal
SYSWEA0000122,WTH437960,Ahmedabad,Gujarat,2023-01-10,27,69,0,13,Sunny,Normal
SYSWEA0000123,WTH355709,Noida,Uttar Pradesh,2023-01-10,11,89,0,19,Sunny,Normal
SYSWEA0000124,WTH130094,Pune,Maharashtra,2023-01-10,23,79,0,15,Cloudy,Normal
SYSWEA0000125,WTH936587,Ghaziabad,Uttar Pradesh,2023-01-10,13,66,0,16,Sunny,Normal
SYSWEA0000126,WTH682789,Lucknow,Uttar Pradesh,2023-01-10,14,56,0,13,Fog,Moderate
SYSWEA0000127,WTH612311,Kanpur,Uttar Pradesh,2023-01-10,16,40,0,18,Sunny,Normal
SYSWEA0000128,WTH569945,Nagpur,Maharashtra,2023-01-10,19,70,4,20,Sunny,Normal
SYSWEA0000129,WTH825391,Mangalore,Karnataka,2023-01-10,20,95,0,17,Sunny,Normal
SYSWEA0000130,WTH680358,Coimbatore,Tamil Nadu,2023-01-10,22,70,2,20,Sunny,Normal
SYSWEA0000131,WTH468900,New Delhi,Delhi,2023-01-11,13,68,0,15,Rain,Moderate
SYSWEA0000132,WTH856321,Mumbai,Maharashtra,2023-01-11,24,94,0,8,Sunny,Normal
SYSWEA0000133,WTH300845,Bengaluru,Karnataka,2023-01-11,20,62,0,10,Cloudy,Normal
SYSWEA0000134,WTH205409,Chennai,Tamil Nadu,2023-01-11,28,73,0,14,Cloudy,Normal
SYSWEA0000135,WTH114835,Ahmedabad,Gujarat,2023-01-11,21,47,0,14,Sunny,Normal
SYSWEA0000136,WTH680238,Noida,Uttar Pradesh,2023-01-11,16,80,0,6,Sunny,Normal
SYSWEA0000137,WTH207570,Pune,Maharashtra,2023-01-11,25,68,0,20,Cloudy,Normal
SYSWEA0000138,WTH561865,Ghaziabad,Uttar Pradesh,2023-01-11,8,90,0,20,Sunny,Normal
SYSWEA0000139,WTH219629,Lucknow,Uttar Pradesh,2023-01-11,11,61,0,20,Sunny,Normal
SYSWEA0000140,WTH259097,Kanpur,Uttar Pradesh,2023-01-11,14,44,0,6,Sunny,Normal
SYSWEA0000141,WTH685181,Nagpur,Maharashtra,2023-01-11,21,44,0,8,Rain,Moderate
SYSWEA0000142,WTH913373,Mangalore,Karnataka,2023-01-11,26,94,0,12,Sunny,Normal
SYSWEA0000143,WTH717113,Coimbatore,Tamil Nadu,2023-01-11,24,88,0,14,Fog,Moderate
SYSWEA0000144,WTH899787,New Delhi,Delhi,2023-01-12,12,62,0,8,Cloudy,Normal
SYSWEA0000145,WTH264686,Mumbai,Maharashtra,2023-01-12,30,78,0,7,Sunny,Normal
SYSWEA0000146,WTH528361,Bengaluru,Karnataka,2023-01-12,17,65,0,5,Sunny,Normal
SYSWEA0000147,WTH402099,Chennai,Tamil Nadu,2023-01-12,30,88,0,12,Sunny,Normal
SYSWEA0000148,WTH820775,Ahmedabad,Gujarat,2023-01-12,21,80,4,7,Fog,Moderate
SYSWEA0000149,WTH545790,Noida,Uttar Pradesh,2023-01-12,12,49,2,11,Sunny,Normal
SYSWEA0000150,WTH966785,Pune,Maharashtra,2023-01-12,22,57,0,13,Cloudy,Normal
SYSWEA0000151,WTH723948,Ghaziabad,Uttar Pradesh,2023-01-12,9,44,0,14,Sunny,Normal
SYSWEA0000152,WTH230394,Lucknow,Uttar Pradesh,2023-01-12,22,87,0,19,Fog,Moderate
SYSWEA0000153,WTH624783,Kanpur,Uttar Pradesh,2023-01-12,19,69,0,13,Cloudy,Normal
SYSWEA0000154,WTH553014,Nagpur,Maharashtra,2023-01-12,27,69,0,6,Sunny,Normal
SYSWEA0000155,WTH340044,Mangalore,Karnataka,2023-01-12,25,93,0,7,Sunny,Normal
SYSWEA0000156,WTH704238,Coimbatore,Tamil Nadu,2023-01-12,27,91,0,13,Rain,Moderate
SYSWEA0000157,WTH391668,New Delhi,Delhi,2023-01-13,20,37,0,19,Sunny,Normal
SYSWEA0000158,WTH195674,Mumbai,Maharashtra,2023-01-13,29,76,0,20,Cloudy,Normal
SYSWEA0000159,WTH999398,Bengaluru,Karnataka,2023-01-13,20,80,0,8,Sunny,Normal
SYSWEA0000160,WTH794769,Chennai,Tamil Nadu,2023-01-13,26,70,0,14,Cloudy,Normal
SYSWEA0000161,WTH438977,Ahmedabad,Gujarat,2023-01-13,13,60,0,13,Sunny,Normal
SYSWEA0000162,WTH789606,Noida,Uttar Pradesh,2023-01-13,20,42,0,5,Fog,Moderate
SYSWEA0000163,WTH752878,Pune,Maharashtra,2023-01-13,21,84,0,16,Sunny,Normal
SYSWEA0000164,WTH313446,Ghaziabad,Uttar Pradesh,2023-01-13,15,83,2,6,Sunny,Normal
SYSWEA0000165,WTH832168,Lucknow,Uttar Pradesh,2023-01-13,17,57,0,19,Fog,Moderate
SYSWEA0000166,WTH844261,Kanpur,Uttar Pradesh,2023-01-13,9,71,0,12,Rain,Moderate
SYSWEA0000167,WTH197736,Nagpur,Maharashtra,2023-01-13,21,45,0,18,Sunny,Normal
SYSWEA0000168,WTH622584,Mangalore,Karnataka,2023-01-13,21,77,0,9,Fog,Moderate
SYSWEA0000169,WTH595158,Coimbatore,Tamil Nadu,2023-01-13,26,73,4,20,Sunny,Normal
SYSWEA0000170,WTH728492,New Delhi,Delhi,2023-01-14,15,50,0,11,Sunny,Normal
SYSWEA0000171,WTH910208,Mumbai,Maharashtra,2023-01-14,31,97,0,13,Fog,Moderate
SYSWEA0000172,WTH396578,Bengaluru,Karnataka,2023-01-14,20,76,0,5,Sunny,Normal
SYSWEA0000173,WTH255813,Chennai,Tamil Nadu,2023-01-14,30,79,0,20,Rain,Moderate
SYSWEA0000174,WTH577463,Ahmedabad,Gujarat,2023-01-14,27,63,0,17,Sunny,Normal
SYSWEA0000175,WTH344907,Noida,Uttar Pradesh,2023-01-14,11,55,4,17,Sunny,Normal
SYSWEA0000176,WTH504832,Pune,Maharashtra,2023-01-14,14,76,0,17,Cloudy,Normal
SYSWEA0000177,WTH138817,Ghaziabad,Uttar Pradesh,2023-01-14,20,77,2,20,Rain,Moderate
SYSWEA0000178,WTH986088,Lucknow,Uttar Pradesh,2023-01-14,17,48,0,8,Sunny,Normal
SYSWEA0000179,WTH857537,Kanpur,Uttar Pradesh,2023-01-14,9,68,0,5,Fog,Moderate
SYSWEA0000180,WTH592296,Nagpur,Maharashtra,2023-01-14,25,44,2,7,Rain,Moderate
SYSWEA0000181,WTH781403,Mangalore,Karnataka,2023-01-14,24,95,0,17,Cloudy,Normal
SYSWEA0000182,WTH432043,Coimbatore,Tamil Nadu,2023-01-14,23,60,2,17,Fog,Moderate
SYSWEA0000183,WTH747453,New Delhi,Delhi,2023-01-15,19,75,0,6,Fog,Moderate
SYSWEA0000184,WTH338536,Mumbai,Maharashtra,2023-01-15,23,69,2,14,Cloudy,Normal
SYSWEA0000185,WTH565230,Bengaluru,Karnataka,2023-01-15,21,55,0,8,Cloudy,Normal
SYSWEA0000186,WTH407618,Chennai,Tamil Nadu,2023-01-15,25,70,0,6,Sunny,Normal
SYSWEA0000187,WTH693418,Ahmedabad,Gujarat,2023-01-15,23,57,0,18,Sunny,Normal
SYSWEA0000188,WTH739098,Noida,Uttar Pradesh,2023-01-15,20,78,0,7,Sunny,Normal
SYSWEA0000189,WTH343467,Pune,Maharashtra,2023-01-15,23,74,2,9,Sunny,Normal
SYSWEA0000190,WTH943718,Ghaziabad,Uttar Pradesh,2023-01-15,18,64,0,5,Sunny,Normal
SYSWEA0000191,WTH563187,Lucknow,Uttar Pradesh,2023-01-15,13,69,2,7,Sunny,Normal
SYSWEA0000192,WTH823846,Kanpur,Uttar Pradesh,2023-01-15,17,62,0,18,Cloudy,Normal
SYSWEA0000193,WTH994787,Nagpur,Maharashtra,2023-01-15,26,51,0,17,Sunny,Normal
SYSWEA0000194,WTH702733,Mangalore,Karnataka,2023-01-15,21,85,0,16,Sunny,Normal
SYSWEA0000195,WTH387813,Coimbatore,Tamil Nadu,2023-01-15,29,73,0,17,Sunny,Normal
SYSWEA0000196,WTH735863,New Delhi,Delhi,2023-01-16,17,35,2,6,Cloudy,Normal
SYSWEA0000197,WTH329642,Mumbai,Maharashtra,2023-01-16,24,96,0,16,Cloudy,Normal
SYSWEA0000198,WTH758765,Bengaluru,Karnataka,2023-01-16,18,90,0,9,Sunny,Normal
SYSWEA0000199,WTH134985,Chennai,Tamil Nadu,2023-01-16,31,66,2,19,Sunny,Normal
SYSWEA0000200,WTH442589,Ahmedabad,Gujarat,2023-01-16,23,72,4,14,Sunny,Normal
SYSWEA0000201,WTH656639,Noida,Uttar Pradesh,2023-01-16,14,82,0,16,Sunny,Normal
SYSWEA0000202,WTH945664,Pune,Maharashtra,2023-01-16,18,82,0,20,Sunny,Normal
SYSWEA0000203,WTH178957,Ghaziabad,Uttar Pradesh,2023-01-16,19,53,0,19,Fog,Moderate
SYSWEA0000204,WTH986827,Lucknow,Uttar Pradesh,2023-01-16,21,49,0,17,Fog,Moderate
SYSWEA0000205,WTH377304,Kanpur,Uttar Pradesh,2023-01-16,13,75,0,5,Fog,Moderate
SYSWEA0000206,WTH712955,Nagpur,Maharashtra,2023-01-16,15,69,0,13,Sunny,Normal
SYSWEA0000207,WTH594379,Mangalore,Karnataka,2023-01-16,30,82,0,12,Sunny,Normal
SYSWEA0000208,WTH779112,Coimbatore,Tamil Nadu,2023-01-16,27,56,0,12,Sunny,Normal
SYSWEA0000209,WTH780776,New Delhi,Delhi,2023-01-17,18,39,0,14,Fog,Moderate
SYSWEA0000210,WTH419149,Mumbai,Maharashtra,2023-01-17,21,91,0,6,Sunny,Normal
SYSWEA0000211,WTH507524,Bengaluru,Karnataka,2023-01-17,16,81,0,9,Sunny,Normal
SYSWEA0000212,WTH715870,Chennai,Tamil Nadu,2023-01-17,26,89,2,18,Fog,Moderate
SYSWEA0000213,WTH745558,Ahmedabad,Gujarat,2023-01-17,16,82,0,20,Cloudy,Normal
SYSWEA0000214,WTH564920,Noida,Uttar Pradesh,2023-01-17,12,61,0,11,Cloudy,Normal
SYSWEA0000215,WTH670913,Pune,Maharashtra,2023-01-17,17,78,0,16,Sunny,Normal
SYSWEA0000216,WTH228093,Ghaziabad,Uttar Pradesh,2023-01-17,13,76,0,11,Sunny,Normal
SYSWEA0000217,WTH153035,Lucknow,Uttar Pradesh,2023-01-17,10,69,2,5,Sunny,Normal
SYSWEA0000218,WTH171942,Kanpur,Uttar Pradesh,2023-01-17,13,90,0,11,Rain,Moderate
SYSWEA0000219,WTH444519,Nagpur,Maharashtra,2023-01-17,18,88,0,12,Sunny,Normal
SYSWEA0000220,WTH236306,Mangalore,Karnataka,2023-01-17,22,94,0,9,Sunny,Normal
SYSWEA0000221,WTH238205,Coimbatore,Tamil Nadu,2023-01-17,22,89,0,5,Sunny,Normal
SYSWEA0000222,WTH282710,New Delhi,Delhi,2023-01-18,13,35,0,5,Sunny,Normal
SYSWEA0000223,WTH881886,Mumbai,Maharashtra,2023-01-18,20,81,0,8,Cloudy,Normal
SYSWEA0000224,WTH573962,Bengaluru,Karnataka,2023-01-18,22,54,0,8,Cloudy,Normal
SYSWEA0000225,WTH580292,Chennai,Tamil Nadu,2023-01-18,24,92,0,14,Sunny,Normal
SYSWEA0000226,WTH546980,Ahmedabad,Gujarat,2023-01-18,12,76,0,17,Rain,Moderate
SYSWEA0000227,WTH177060,Noida,Uttar Pradesh,2023-01-18,9,78,0,19,Cloudy,Normal
SYSWEA0000228,WTH388375,Pune,Maharashtra,2023-01-18,19,55,0,9,Sunny,Normal
SYSWEA0000229,WTH499407,Ghaziabad,Uttar Pradesh,2023-01-18,18,74,0,15,Sunny,Normal
SYSWEA0000230,WTH203996,Lucknow,Uttar Pradesh,2023-01-18,17,78,0,18,Sunny,Normal
SYSWEA0000231,WTH550961,Kanpur,Uttar Pradesh,2023-01-18,19,90,0,11,Fog,Moderate
SYSWEA0000232,WTH518098,Nagpur,Maharashtra,2023-01-18,19,63,0,19,Sunny,Normal
SYSWEA0000233,WTH797416,Mangalore,Karnataka,2023-01-18,31,83,0,15,Sunny,Normal
SYSWEA0000234,WTH170394,Coimbatore,Tamil Nadu,2023-01-18,23,71,0,20,Cloudy,Normal
SYSWEA0000235,WTH951201,New Delhi,Delhi,2023-01-19,9,40,0,16,Sunny,Normal
SYSWEA0000236,WTH802559,Mumbai,Maharashtra,2023-01-19,28,73,0,15,Sunny,Normal
SYSWEA0000237,WTH856086,Bengaluru,Karnataka,2023-01-19,21,57,0,18,Fog,Moderate
SYSWEA0000238,WTH705991,Chennai,Tamil Nadu,2023-01-19,25,63,0,8,Sunny,Normal
SYSWEA0000239,WTH988432,Ahmedabad,Gujarat,2023-01-19,18,67,0,12,Cloudy,Normal
SYSWEA0000240,WTH701987,Noida,Uttar Pradesh,2023-01-19,13,41,0,13,Sunny,Normal
SYSWEA0000241,WTH738577,Pune,Maharashtra,2023-01-19,26,64,0,5,Fog,Moderate
SYSWEA0000242,WTH836833,Ghaziabad,Uttar Pradesh,2023-01-19,19,77,0,13,Sunny,Normal
SYSWEA0000243,WTH250210,Lucknow,Uttar Pradesh,2023-01-19,13,88,0,10,Sunny,Normal
SYSWEA0000244,WTH196214,Kanpur,Uttar Pradesh,2023-01-19,18,76,0,5,Sunny,Normal
SYSWEA0000245,WTH457455,Nagpur,Maharashtra,2023-01-19,28,82,0,19,Sunny,Normal
SYSWEA0000246,WTH155164,Mangalore,Karnataka,2023-01-19,25,75,0,7,Cloudy,Normal
SYSWEA0000247,WTH385320,Coimbatore,Tamil Nadu,2023-01-19,20,64,0,7,Sunny,Normal
SYSWEA0000248,WTH534303,New Delhi,Delhi,2023-01-20,18,63,0,19,Sunny,Normal
SYSWEA0000249,WTH216276,Mumbai,Maharashtra,2023-01-20,23,82,0,18,Sunny,Normal
SYSWEA0000250,WTH147623,Bengaluru,Karnataka,2023-01-20,25,68,2,14,Sunny,Normal
SYSWEA0000251,WTH416061,Chennai,Tamil Nadu,2023-01-20,27,74,0,11,Sunny,Normal
SYSWEA0000252,WTH108105,Ahmedabad,Gujarat,2023-01-20,16,48,0,8,Sunny,Normal
SYSWEA0000253,WTH658453,Noida,Uttar Pradesh,2023-01-20,19,66,0,17,Sunny,Normal
SYSWEA0000254,WTH175576,Pune,Maharashtra,2023-01-20,17,95,0,16,Sunny,Normal
SYSWEA0000255,WTH181644,Ghaziabad,Uttar Pradesh,2023-01-20,19,60,0,19,Sunny,Normal
SYSWEA0000256,WTH403578,Lucknow,Uttar Pradesh,2023-01-20,18,60,0,18,Sunny,Normal
