SupplierSysID,SupplierID,SupplierName,Phone,Email,City,State,SupplierSize,SupplierTier,Rating,ActiveStatus
SYSSUP0000031,SUP497382,Lad Raghavan Traders,03755646417,zachariacharles@kapur-biswas.com,Mangalore,Karnataka,Large,Tier 2,3.8,Active
SYSSUP0000032,SUP865990,Balasubramanian Kota Supplies,+910923271937,jyoti29@contractor.com,Surat,Gujarat,Small,Tier 2,4.7,Active
SYSSUP0000033,SUP668532,Bal Muni Traders,6631931491,palanpriya@prabhakar.com,Surat,Gujarat,Small,Tier 3,3.3,Active
SYSSUP0000034,SUP265080,Arora Salvi Traders,01657262849,bshroff@loyal.com,Chennai,Tamil Nadu,Large,Tier 1,4.3,Active
SYSSUP0000035,SUP523389,Mallick Seshadri Traders,+917996507527,ishakuruvilla@mammen-majumdar.net,Chennai,Tamil Nadu,Medium,Tier 1,4.3,Active
SYSSUP0000036,SUP692683,Anne Varughese Supplies,+911367837770,menontimothy@kohli-mohan.org,Pune,Maharashtra,Small,Tier 3,2.8,Active
SYSSUP0000037,SUP804318,Pillay Solanki Industries,8568557444,jaihans@dar-wason.com,Pune,Maharashtra,Small,Tier 3,2.4,Active
SYSSUP0000038,SUP690341,Handa Kalita Traders,7498941343,praneel40@walla.com,New Delhi,Delhi,Medium,Tier 1,4.5,Active
SYSSUP0000039,SUP356150,Bhagat Master Enterprises,2710947775,charankrishnan@comar-bhattacharyya.biz,Mumbai,Maharashtra,Small,Tier 3,2.9,Inactive
SYSSUP0000040,SUP946305,Swamy Borah Industries,0229413186,lajitaseshadri@mishra-sanghvi.com,Chennai,Tamil Nadu,Medium,Tier 2,4.6,Active
SYSSUP0000041,SUP240814,Bhasin Chaudhary Enterprises,+913412328120,sseshadri@singhal.com,New Delhi,Delhi,Medium,Tier 1,4.4,Active
SYSSUP0000042,SUP459536,Mani Mandal Distributors,7134936183,amairadhar@bhasin.com,Surat,Gujarat,Medium,Tier 2,4.6,Active
SYSSUP0000043,SUP765095,Mani Sarna Wholesale,+917464887719,sankaranekantika@krishna.com,Mumbai,Maharashtra,Small,Tier 3,3.5,Active
SYSSUP0000044,SUP877236,Bail Luthra Wholesale,0278742967,singhalijaya@nath-nagi.com,Coimbatore,Tamil Nadu,Medium,Tier 1,5.0,Active
SYSSUP0000045,SUP256294,Dyal Narayan Supplies,07468071545,ravalyoshita@shere.com,New Delhi,Delhi,Medium,Tier 1,4.3,Active
SYSSUP0000046,SUP934794,Guha Vasa Traders,09770348247,bdara@khatri.net,Mumbai,Maharashtra,Medium,Tier 2,3.9,Active
SYSSUP0000047,SUP526117,Atwal Reddy Supplies,+913171274846,psodhi@dhillon-rajagopal.com,Ahmedabad,Gujarat,Large,Tier 1,4.3,Active
SYSSUP0000048,SUP285652,Trivedi Deshpande Wholesale,+914658404499,cdixit@sule.net,New Delhi,Delhi,Medium,Tier 2,4.6,Active
SYSSUP0000049,SUP870763,Purohit Shah Distributors,03396360576,fdoshi@date.org,Mumbai,Maharashtra,Medium,Tier 1,4.9,Active
SYSSUP0000050,SUP333238,Narula Chaudhry Distributors,01870262174,mitali15@walla.info,Mangalore,Karnataka,Small,Tier 3,2.7,Active
SYSSUP0000051,SUP302511,Banik Biswas Wholesale,+914316117240,nairdaksh@parmer-prasad.biz,Pune,Maharashtra,Large,Tier 3,2.8,Active
SYSSUP0000052,SUP519093,Dhingra Konda Industries,6922219693,odhar@kumar-sharaf.com,Coimbatore,Tamil Nadu,Large,Tier 1,5.0,Active
SYSSUP0000053,SUP378361,Andra Shroff Traders,08217594647,rushil67@khalsa.org,New Delhi,Delhi,Small,Tier 3,3.1,Inactive
SYSSUP0000054,SUP221263,Parmer Merchant Wholesale,4064090974,indirakanda@gupta.com,Chennai,Tamil Nadu,Small,Tier 3,2.3,Active
SYSSUP0000055,SUP664607,Baral More Industries,00952145623,jasmitwali@mahajan.info,Ahmedabad,Gujarat,Small,Tier 2,4.3,Active
SYSSUP0000056,SUP429164,Merchant Nigam Industries,+917123685160,jatin75@lala.com,New Delhi,Delhi,Medium,Tier 2,3.8,Active
SYSSUP0000057,SUP681343,Kaur Sinha Distributors,+919859317461,chakradevbarad@tailor-dalia.com,Kanpur,Uttar Pradesh,Medium,Tier 2,4.4,Active
SYSSUP0000058,SUP696750,Keer Yogi Enterprises,+916758692617,cmammen@prabhakar.info,Bengaluru,Karnataka,Small,Tier 2,4.4,Active
SYSSUP0000059,SUP437902,Keer Patil Wholesale,+915850643171,anshbedi@kohli-dass.org,Mangalore,Karnataka,Medium,Tier 2,4.4,Inactive
SYSSUP0000060,SUP871711,Jha Biswas Distributors,3933529042,zashilghosh@bal.com,Ahmedabad,Gujarat,Small,Tier 3,3.5,Active
SYSSUP0000061,SUP887625,Parmar Khanna Distributors,5024026811,xsen@varghese-chopra.info,Surat,Gujarat,Small,Tier 2,3.4,Active
SYSSUP0000062,SUP598216,Thakur Kant Supplies,0847007661,esawhney@nagy.com,New Delhi,Delhi,Small,Tier 3,2.7,Active
SYSSUP0000063,SUP618392,Bhatti Date Wholesale,09985698478,ychaudhary@contractor.info,Ghaziabad,Uttar Pradesh,Medium,Tier 1,4.8,Active
SYSSUP0000064,SUP211764,Kari Sachdev Wholesale,07661565452,fbhavsar@chander.com,Ghaziabad,Uttar Pradesh,Medium,Tier 2,4.0,Active
SYSSUP0000065,SUP989545,Pradhan De Traders,0988516560,devika51@tripathi.info,Bengaluru,Karnataka,Medium,Tier 2,4.7,Active
SYSSUP0000066,SUP891937,Kapur Chokshi Wholesale,08514936899,lokeayush@mahajan.com,Coimbatore,Tamil Nadu,Medium,Tier 2,4.6,Active
SYSSUP0000067,SUP597732,Nori Panchal Wholesale,+912296120183,dsaini@dugar-pingle.com,Mumbai,Maharashtra,Medium,Tier 2,4.4,Active
SYSSUP0000068,SUP350867,Nair Chad Enterprises,+912290147679,rsachdeva@vala.com,Bengaluru,Karnataka,Medium,Tier 2,3.8,Active
SYSSUP0000069,SUP184491,Sani Choudhry Distributors,09784036900,charvikakar@kumer.com,Ghaziabad,Uttar Pradesh,Small,Tier 2,3.7,Active
SYSSUP0000070,SUP446954,Dar Amble Supplies,06226838851,bbasak@sharaf.com,Mangalore,Karnataka,Small,Tier 3,3.0,Active
SYSSUP0000071,SUP829308,Sanghvi Ravel Traders,6416052975,sarkarhitesh@sarin.biz,Coimbatore,Tamil Nadu,Small,Tier 3,2.9,Active
SYSSUP0000072,SUP976325,Viswanathan Brar Wholesale,04535218188,ikshitapanchal@divan.com,Chennai,Tamil Nadu,Small,Tier 2,4.0,Active
SYSSUP0000073,SUP801364,Kunda Hora Industries,+919212779979,diya27@singh.com,Bengaluru,Karnataka,Medium,Tier 3,4.2,Active
SYSSUP0000074,SUP513160,Maharaj Bhalla Supplies,08147700541,tripathileena@barman-sengupta.org,Chennai,Tamil Nadu,Small,Tier 3,3.9,Active
SYSSUP0000075,SUP372793,Guha Nagy Wholesale,7820715182,kotaraksha@viswanathan-virk.org,Mumbai,Maharashtra,Small,Tier 2,4.5,Active
SYSSUP0000076,SUP972335,Dutt Patla Wholesale,04665905151,qmander@doctor.org,Mumbai,Maharashtra,Small,Tier 3,2.4,Inactive
SYSSUP0000077,SUP335113,Dhaliwal Palla Industries,06291486528,sampathyashoda@badami-patil.com,New Delhi,Delhi,Medium,Tier 3,2.7,Active
SYSSUP0000078,SUP259784,Gole Kala Distributors,07332214188,nayarkaran@puri.com,Kanpur,Uttar Pradesh,Medium,Tier 2,3.7,Active
SYSSUP0000079,SUP904150,Gandhi Sarma Enterprises,+916537947383,upasna35@sastry.biz,Noida,Uttar Pradesh,Medium,Tier 1,4.4,Active
SYSSUP0000080,SUP427110,Thakkar Wable Supplies,02392407581,manefiyaz@mahajan.net,Surat,Gujarat,Small,Tier 3,2.4,Active
SYSSUP0000081,SUP757711,Din Sarkar Distributors,+913750606853,xbumb@bala.com,New Delhi,Delhi,Large,Tier 1,4.3,Inactive
SYSSUP0000082,SUP920652,Nayak Dhingra Traders,+910472779010,tanveer28@wable.com,Nagpur,Maharashtra,Small,Tier 3,3.3,Active
SYSSUP0000083,SUP990844,Khanna Mitra Wholesale,+910369711798,varmawyatt@dhawan.com,Bengaluru,Karnataka,Small,Tier 3,4.0,Active
SYSSUP0000084,SUP260422,Pandit Khosla Wholesale,6218518888,ramakrishnanupma@ram.com,Lucknow,Uttar Pradesh,Medium,Tier 3,3.8,Active
SYSSUP0000085,SUP965845,Babu Parikh Industries,+915319520585,ucchalsrinivas@gopal.info,Coimbatore,Tamil Nadu,Small,Tier 2,4.6,Active
SYSSUP0000086,SUP572700,Bansal Memon Distributors,+910305486874,halderbhavika@batta-narula.com,Mangalore,Karnataka,Small,Tier 3,2.9,Active
SYSSUP0000087,SUP472060,Dash Pillai Enterprises,06765277584,samrafarhan@gole-memon.com,Pune,Maharashtra,Large,Tier 1,4.4,Active
SYSSUP0000088,SUP300337,Chauhan Buch Traders,04479627570,radhika40@ravi.net,Kanpur,Uttar Pradesh,Small,Tier 3,3.6,Active
SYSSUP0000089,SUP614663,Dutta Balasubramanian Wholesale,+919702135569,dubeshivani@prabhu-sawhney.com,New Delhi,Delhi,Small,Tier 3,2.8,Active
SYSSUP0000090,SUP486945,Devan Wagle Wholesale,06543102786,lalaabha@sehgal.info,Coimbatore,Tamil Nadu,Small,Tier 3,2.9,Active
SYSSUP0000091,SUP384076,Iyengar Das Enterprises,+911727155188,charita22@trivedi-kapur.com,Mumbai,Maharashtra,Small,Tier 2,3.6,Active
SYSSUP0000092,SUP899213,Iyer Dewan Industries,+917058957829,bhattidayamai@srinivas-vora.biz,Ghaziabad,Uttar Pradesh,Small,Tier 3,3.7,Inactive
SYSSUP0000093,SUP650121,Rout Borah Supplies,+915177852892,rachitathakkar@dash.com,Mumbai,Maharashtra,Medium,Tier 2,3.9,Active
SYSSUP0000094,SUP842411,Modi Gala Supplies,+915358414384,chavviwalla@thakkar.com,Lucknow,Uttar Pradesh,Small,Tier 2,3.8,Inactive
SYSSUP0000095,SUP768854,Dube Garg Wholesale,9959001094,omajabalasubramanian@mann-mittal.info,New Delhi,Delhi,Medium,Tier 2,4.0,Active
SYSSUP0000096,SUP153872,Konda Ravi Enterprises,07102767735,dhritinagar@pai.com,Bengaluru,Karnataka,Medium,Tier 2,3.5,Active
SYSSUP0000097,SUP156213,Varma Cherian Distributors,03714732104,psahota@narang.com,Lucknow,Uttar Pradesh,Small,Tier 2,4.1,Active
SYSSUP0000098,SUP725084,Gupta Dutta Supplies,08774701687,tanveerpandit@bedi.info,Kanpur,Uttar Pradesh,Small,Tier 3,3.9,Inactive
SYSSUP0000099,SUP420214,Singhal Mangal Supplies,0162456506,hayerjanani@mani.net,Chennai,Tamil Nadu,Medium,Tier 2,4.6,Active
SYSSUP0000100,SUP321275,Seshadri Mammen Enterprises,9121655852,yashodhararatti@baria.com,Ahmedabad,Gujarat,Small,Tier 2,3.5,Active
SYSSUP0000101,SUP572387,Nath Som Industries,7298259526,gayathri88@suri.com,Coimbatore,Tamil Nadu,Small,Tier 2,4.3,Active
SYSSUP0000102,SUP576086,Pillay Narula Traders,1694097499,charansrinivasan@viswanathan.org,Ahmedabad,Gujarat,Large,Tier 2,4.2,Active
SYSSUP0000103,SUP307428,Rai Divan Wholesale,3091307562,ajani@sinha.net,New Delhi,Delhi,Medium,Tier 3,3.9,Active
SYSSUP0000104,SUP273982,Johal Nair Enterprises,7865278585,veda33@misra-kar.com,Coimbatore,Tamil Nadu,Small,Tier 3,2.9,Active
SYSSUP0000105,SUP385470,Mani Johal Supplies,7575844198,wrana@mannan.com,Coimbatore,Tamil Nadu,Small,Tier 3,4.0,Active
SYSSUP0000106,SUP733039,Brar Pal Enterprises,04733848421,xavierbedi@wali.com,New Delhi,Delhi,Small,Tier 3,3.9,Active
SYSSUP0000107,SUP121753,Chaudhry Sachdev Industries,07120826773,ekani40@kata.com,Nagpur,Maharashtra,Small,Tier 3,3.2,Active
SYSSUP0000108,SUP391668,Gill Sahni Distributors,+910672400499,nayakbhavani@viswanathan-tak.com,Coimbatore,Tamil Nadu,Medium,Tier 2,3.5,Active
SYSSUP0000109,SUP449499,Thaman Sidhu Enterprises,03152742054,parthravi@varma-narang.com,Ahmedabad,Gujarat,Large,Tier 1,4.8,Active
SYSSUP0000110,SUP519904,Rattan Chandran Supplies,+912753046374,chasmum99@lal.com,New Delhi,Delhi,Small,Tier 2,3.6,Active
SYSSUP0000111,SUP639593,Keer Bhatia Traders,1742684145,theodoredeol@dua-sha.org,Surat,Gujarat,Small,Tier 2,3.9,Active
SYSSUP0000112,SUP755788,Prakash Sagar Wholesale,8783391878,faras91@tiwari.org,New Delhi,Delhi,Small,Tier 2,3.8,Active
SYSSUP0000113,SUP608257,Yadav Doctor Traders,+915871397187,settykevin@sagar.net,New Delhi,Delhi,Medium,Tier 2,3.4,Active
SYSSUP0000114,SUP335615,Shere Morar Traders,0640391065,bhasinekapad@balay-mangat.biz,Bengaluru,Karnataka,Medium,Tier 1,4.9,Active
SYSSUP0000115,SUP839677,Gole Deshmukh Enterprises,6567661825,gokhalemaya@datta.com,Mangalore,Karnataka,Large,Tier 1,4.6,Active
SYSSUP0000116,SUP728492,Misra Sheth Supplies,8686337524,isaiahbalay@saini.com,Ahmedabad,Gujarat,Large,Tier 1,4.8,Active
SYSSUP0000117,SUP925981,Bhavsar Chaudhuri Supplies,0790306738,dakshdey@mann.org,Mumbai,Maharashtra,Small,Tier 2,4.2,Inactive
SYSSUP0000118,SUP613425,Nagi Khalsa Distributors,02836440892,dtandon@raj-vohra.com,Mangalore,Karnataka,Small,Tier 3,3.3,Active
SYSSUP0000119,SUP437408,Saha Rege Distributors,+914628733427,sacharomaja@wagle.com,Ahmedabad,Gujarat,Medium,Tier 2,4.4,Active
SYSSUP0000120,SUP880879,Kumer Jani Wholesale,01751830469,boraraghav@kalla.com,Surat,Gujarat,Small,Tier 3,3.9,Inactive
