SupplierProductSysID,SupplierID,ProductID,LeadTimeDays,MinimumOrderQty,QuotedUnitCost,DefectRatePercentage
SYSSP0000071,SUP197251,PROD199868,10,325,271.94,0.89
SYSSP0000072,SUP197251,PROD771088,7,657,108.76,0.89
SYSSP0000073,SUP197251,PROD221119,7,357,1175.39,2.27
SYSSP0000074,SUP197251,PROD226611,7,649,362.46,2.72
SYSSP0000075,SUP197251,PROD642895,4,371,60.4,2.95
SYSSP0000076,SUP197251,PROD740725,5,311,2017.41,2.42
SYSSP0000077,SUP197251,PROD889216,8,310,969.27,2.7
SYSSP0000078,SUP197251,PROD824586,6,236,443.39,2.34
SYSSP0000079,SUP197251,PROD649577,9,119,1263.01,1.29
SYSSP0000080,SUP197251,PROD898329,10,279,2317.43,2.55
SYSSP0000081,SUP197251,PROD787584,6,214,981.65,1.22
SYSSP0000082,SUP197251,PROD183667,8,242,1741.32,2.93
SYSSP0000083,SUP197251,PROD986589,7,279,1547.77,1.68
SYSSP0000084,SUP197251,PROD350484,11,269,1053.85,1.05
SYSSP0000085,SUP197251,PROD355021,7,191,2393.95,2.96
SYSSP0000086,SUP197251,PROD372793,3,155,264.26,1.56
SYSSP0000087,SUP197251,PROD482584,8,323,802.6,1.93
SYSSP0000088,SUP197251,PROD477880,9,395,101.87,0.9
SYSSP0000089,SUP662275,PROD722665,13,258,212.04,4.13
SYSSP0000090,SUP662275,PROD934638,13,165,210.93,5.82
SYSSP0000091,SUP662275,PROD571635,16,189,119.48,4.0
SYSSP0000092,SUP662275,PROD265080,13,255,157.59,4.65
SYSSP0000093,SUP662275,PROD968962,18,264,143.13,4.71
SYSSP0000094,SUP662275,PROD751303,12,342,98.75,7.3
SYSSP0000095,SUP662275,PROD794093,12,143,198.59,5.82
SYSSP0000096,SUP662275,PROD345386,16,147,96.79,6.26
SYSSP0000097,SUP662275,PROD112537,10,201,227.04,2.73
SYSSP0000098,SUP662275,PROD780768,16,137,255.84,6.93
SYSSP0000099,SUP662275,PROD605065,15,296,185.75,3.72
SYSSP0000100,SUP662275,PROD762055,5,317,141.61,6.52
SYSSP0000101,SUP662275,PROD183667,16,125,1625.56,7.09
SYSSP0000102,SUP662275,PROD644932,9,168,1416.98,5.84
SYSSP0000103,SUP662275,PROD664607,17,262,79.6,6.96
SYSSP0000104,SUP662275,PROD277487,15,675,163.25,4.73
SYSSP0000105,SUP662275,PROD564635,11,691,133.31,3.8
SYSSP0000106,SUP662275,PROD486649,12,391,375.78,5.11
SYSSP0000107,SUP662275,PROD896204,9,475,529.3,3.93
SYSSP0000108,SUP662275,PROD341162,10,413,690.06,2.9
SYSSP0000109,SUP662275,PROD401036,7,446,754.34,6.03
SYSSP0000110,SUP662275,PROD165142,8,458,497.33,4.83
SYSSP0000111,SUP662275,PROD431699,5,676,438.63,7.02
SYSSP0000112,SUP662275,PROD456871,8,444,188.77,7.21
SYSSP0000113,SUP662275,PROD321275,11,686,738.38,6.68
SYSSP0000114,SUP662275,PROD141468,17,626,474.14,5.52
SYSSP0000115,SUP662275,PROD834233,10,362,396.52,4.93
SYSSP0000116,SUP662275,PROD810189,12,592,1102.59,4.52
SYSSP0000117,SUP705397,PROD434640,27,57,80918.71,0.86
SYSSP0000118,SUP705397,PROD670913,35,47,58026.03,1.82
SYSSP0000119,SUP705397,PROD409355,16,36,50521.43,1.27
SYSSP0000120,SUP705397,PROD749137,25,41,133343.17,1.63
SYSSP0000121,SUP705397,PROD999398,39,46,81258.93,0.98
SYSSP0000122,SUP705397,PROD269930,15,54,96592.47,2.89
SYSSP0000123,SUP705397,PROD188834,22,24,63327.51,2.23
SYSSP0000124,SUP705397,PROD932463,39,21,55704.84,1.24
SYSSP0000125,SUP705397,PROD704201,15,59,65774.0,1.08
SYSSP0000126,SUP705397,PROD239613,36,27,71433.95,1.28
SYSSP0000127,SUP705397,PROD834591,37,36,83618.26,1.17
SYSSP0000128,SUP344098,PROD514913,7,254,193.42,5.5
SYSSP0000129,SUP344098,PROD540208,9,121,287.44,4.64
SYSSP0000130,SUP344098,PROD867541,9,359,257.48,2.56
SYSSP0000131,SUP344098,PROD842776,13,154,1072.43,4.31
SYSSP0000132,SUP344098,PROD642895,16,178,55.8,6.17
SYSSP0000133,SUP344098,PROD529068,13,187,496.32,4.82
SYSSP0000134,SUP344098,PROD648102,16,132,488.03,6.65
SYSSP0000135,SUP344098,PROD183667,8,165,1582.39,4.82
SYSSP0000136,SUP344098,PROD237174,19,147,279.37,4.97
SYSSP0000137,SUP344098,PROD933197,11,174,974.65,6.49
SYSSP0000138,SUP344098,PROD155642,12,120,420.17,5.08
SYSSP0000139,SUP344098,PROD133958,8,111,989.16,4.94
SYSSP0000140,SUP344098,PROD420297,13,171,272.05,4.95
SYSSP0000141,SUP344098,PROD944962,5,125,229.84,5.96
SYSSP0000142,SUP344098,PROD453961,31,57,97659.49,5.27
SYSSP0000143,SUP344098,PROD584838,31,55,88643.87,6.01
SYSSP0000144,SUP344098,PROD322182,27,36,133088.05,6.11
SYSSP0000145,SUP344098,PROD708798,27,54,73272.38,5.95
SYSSP0000146,SUP344098,PROD446968,24,50,64653.89,5.45
SYSSP0000147,SUP802729,PROD135035,5,576,252.3,0.69
SYSSP0000148,SUP802729,PROD220936,1,490,458.74,0.54
SYSSP0000149,SUP802729,PROD423528,1,691,507.41,1.02
SYSSP0000150,SUP802729,PROD512022,5,287,211.84,0.89
SYSSP0000151,SUP802729,PROD682144,3,665,146.85,0.5
SYSSP0000152,SUP802729,PROD572436,5,535,339.81,0.81
SYSSP0000153,SUP802729,PROD962287,2,480,70.09,0.5
SYSSP0000154,SUP802729,PROD615060,6,541,511.87,0.81
SYSSP0000155,SUP802729,PROD898462,2,570,365.33,0.86
SYSSP0000156,SUP802729,PROD664058,3,338,174.9,0.36
SYSSP0000157,SUP802729,PROD130610,5,602,540.26,0.49
SYSSP0000158,SUP802729,PROD486649,3,611,393.64,1.06
SYSSP0000159,SUP802729,PROD729371,2,385,425.18,0.83
SYSSP0000160,SUP802729,PROD780432,35,67,29937.64,0.42
SYSSP0000161,SUP802729,PROD934794,17,92,34609.86,0.26
SYSSP0000162,SUP802729,PROD993744,38,78,64152.6,0.77
SYSSP0000163,SUP802729,PROD674553,21,47,60314.75,0.5
SYSSP0000164,SUP802729,PROD763311,25,72,68449.55,0.64
SYSSP0000165,SUP802729,PROD497108,34,96,82050.06,0.52
SYSSP0000166,SUP802729,PROD373216,23,45,73320.1,0.87
SYSSP0000167,SUP802729,PROD533911,33,88,81497.02,0.47
SYSSP0000168,SUP802729,PROD704201,15,70,69302.8,0.64
SYSSP0000169,SUP802729,PROD476417,22,77,61193.79,1.01
SYSSP0000170,SUP802729,PROD913308,14,62,95268.72,0.52
SYSSP0000171,SUP802729,PROD269930,17,61,101764.81,0.7
SYSSP0000172,SUP802729,PROD253300,9,332,186.37,0.45
SYSSP0000173,SUP802729,PROD468900,1,363,310.93,0.2
SYSSP0000174,SUP802729,PROD762055,8,311,153.3,0.72
SYSSP0000175,SUP802729,PROD372793,9,326,274.83,0.4
SYSSP0000176,SUP802729,PROD220764,10,247,237.92,0.9
SYSSP0000177,SUP802729,PROD794093,4,222,222.24,0.51
SYSSP0000178,SUP802729,PROD473023,1,147,63.94,1.04
SYSSP0000179,SUP802729,PROD891030,1,160,158.58,0.35
SYSSP0000180,SUP802729,PROD722665,5,312,231.34,1.18
SYSSP0000181,SUP802729,PROD752011,3,382,381.86,0.39
SYSSP0000182,SUP802729,PROD571832,11,135,2452.49,0.99
SYSSP0000183,SUP802729,PROD660081,7,359,616.41,0.2
SYSSP0000184,SUP497887,PROD401198,38,54,46676.8,4.55
SYSSP0000185,SUP497887,PROD627786,32,70,33443.44,6.56
SYSSP0000186,SUP497887,PROD396020,34,90,14981.36,7.4
SYSSP0000187,SUP497887,PROD675898,32,48,66564.26,5.45
SYSSP0000188,SUP497887,PROD859364,23,46,59135.91,4.78
SYSSP0000189,SUP497887,PROD714953,41,66,72668.91,7.35
SYSSP0000190,SUP497887,PROD444207,22,90,11625.99,4.19
SYSSP0000191,SUP497887,PROD390743,42,81,66251.98,4.14
SYSSP0000192,SUP497887,PROD449138,42,64,47207.12,5.63
SYSSP0000193,SUP497887,PROD834591,44,95,78404.03,5.59
SYSSP0000194,SUP497887,PROD548580,29,83,44110.25,7.49
SYSSP0000195,SUP497887,PROD908475,40,67,16139.28,6.3
SYSSP0000196,SUP497887,PROD999398,39,68,76106.82,4.0
SYSSP0000197,SUP497887,PROD770532,17,60,107437.29,3.97
SYSSP0000198,SUP497887,PROD572407,31,49,92079.31,4.56
SYSSP0000199,SUP497887,PROD744986,39,50,87013.82,5.55
SYSSP0000200,SUP497887,PROD132146,14,599,135.89,7.06
SYSSP0000201,SUP497887,PROD660605,7,486,563.18,4.8
SYSSP0000202,SUP497887,PROD551860,7,397,427.37,3.29
SYSSP0000203,SUP497887,PROD564635,13,550,131.32,7.31
SYSSP0000204,SUP497887,PROD343807,11,682,131.0,7.5
SYSSP0000205,SUP497887,PROD324345,11,371,308.1,4.29
SYSSP0000206,SUP497887,PROD158132,13,401,376.1,6.65
SYSSP0000207,SUP497887,PROD456871,12,254,190.2,5.93
SYSSP0000208,SUP497887,PROD165142,8,631,504.45,7.02
SYSSP0000209,SUP497887,PROD329659,9,560,170.33,3.6
SYSSP0000210,SUP497887,PROD486649,11,378,373.02,6.1
SYSSP0000211,SUP497887,PROD381607,11,299,382.53,5.73
SYSSP0000212,SUP497887,PROD385037,11,267,206.66,6.16
SYSSP0000213,SUP497887,PROD597305,7,417,197.64,3.38
SYSSP0000214,SUP497887,PROD633188,10,698,72.27,5.15
SYSSP0000215,SUP497887,PROD906010,9,381,458.4,7.22
SYSSP0000216,SUP497887,PROD345386,14,273,96.67,4.84
SYSSP0000217,SUP497887,PROD448321,7,215,44.99,6.12
SYSSP0000218,SUP497887,PROD644559,15,287,204.61,4.47
SYSSP0000219,SUP497887,PROD758589,13,163,144.61,5.86
SYSSP0000220,SUP497887,PROD753425,13,295,276.9,7.2
SYSSP0000221,SUP497887,PROD984247,11,219,162.22,5.6
SYSSP0000222,SUP497887,PROD817644,15,213,190.88,5.68
SYSSP0000223,SUP497887,PROD253300,17,254,178.25,3.08
SYSSP0000224,SUP497887,PROD768636,5,255,105.21,3.08
SYSSP0000225,SUP497887,PROD722665,12,169,207.09,4.36
SYSSP0000226,SUP497887,PROD112537,16,400,238.9,3.27
SYSSP0000227,SUP497887,PROD851759,16,150,55.19,5.58
SYSSP0000228,SUP497887,PROD751303,9,289,94.02,4.72
SYSSP0000229,SUP497887,PROD939717,10,150,113.35,4.34
SYSSP0000230,SUP497887,PROD477880,10,303,96.7,7.34
SYSSP0000231,SUP497887,PROD520274,12,208,943.19,5.49
SYSSP0000232,SUP497887,PROD731977,5,270,716.82,3.13
SYSSP0000233,SUP497887,PROD521233,15,135,1567.44,5.27
SYSSP0000234,SUP497887,PROD289934,15,219,1976.2,3.24
SYSSP0000235,SUP133659,PROD699809,6,157,304.3,6.23
SYSSP0000236,SUP133659,PROD483629,15,142,249.13,3.05
SYSSP0000237,SUP133659,PROD518098,14,61,441.44,7.04
SYSSP0000238,SUP133659,PROD308296,15,167,175.92,2.66
SYSSP0000239,SUP133659,PROD922458,15,159,205.02,4.95
SYSSP0000240,SUP133659,PROD544730,12,70,468.4,3.24
SYSSP0000241,SUP133659,PROD405420,9,199,1437.14,4.13
SYSSP0000242,SUP133659,PROD416822,18,125,149.19,5.53
SYSSP0000243,SUP133659,PROD176066,25,27,92680.73,5.75
SYSSP0000244,SUP133659,PROD442622,45,33,137760.67,6.94
SYSSP0000245,SUP133659,PROD533321,32,49,107882.19,6.15
SYSSP0000246,SUP133659,PROD778700,30,40,93321.15,4.37
SYSSP0000247,SUP133659,PROD239613,26,50,65075.18,6.66
SYSSP0000248,SUP133659,PROD904858,22,26,11135.0,4.36
SYSSP0000249,SUP133659,PROD418672,10,130,182.29,5.31
SYSSP0000250,SUP133659,PROD431699,14,162,438.28,6.87
SYSSP0000251,SUP133659,PROD951452,15,126,596.35,5.5
SYSSP0000252,SUP133659,PROD855408,9,395,288.17,3.27
SYSSP0000253,SUP133659,PROD958182,12,155,396.46,5.28
SYSSP0000254,SUP133659,PROD260626,7,393,122.1,4.65
SYSSP0000255,SUP322955,PROD389913,8,645,265.26,1.17
SYSSP0000256,SUP322955,PROD901619,2,885,393.65,0.54
SYSSP0000257,SUP322955,PROD158896,5,832,116.63,0.77
SYSSP0000258,SUP322955,PROD687044,3,659,111.93,0.82
SYSSP0000259,SUP322955,PROD199868,1,953,284.06,0.69
SYSSP0000260,SUP322955,PROD574843,6,779,484.31,0.71
SYSSP0000261,SUP322955,PROD407757,4,613,393.98,0.88
SYSSP0000262,SUP322955,PROD491559,7,546,218.23,1.18
SYSSP0000263,SUP322955,PROD158104,2,709,235.22,0.41
SYSSP0000264,SUP322955,PROD423528,2,796,502.94,0.21
SYSSP0000265,SUP322955,PROD688861,7,632,123.27,0.9
SYSSP0000266,SUP322955,PROD633188,8,573,74.94,0.94
SYSSP0000267,SUP322955,PROD242723,8,970,146.13,1.06
SYSSP0000268,SUP322955,PROD724756,5,1155,393.91,0.32
SYSSP0000269,SUP322955,PROD160718,1,675,387.29,0.82
SYSSP0000270,SUP322955,PROD745972,7,947,71.54,0.44
SYSSP0000271,SUP322955,PROD130914,8,905,1042.53,0.95
SYSSP0000272,SUP322955,PROD410401,3,672,797.32,0.83
SYSSP0000273,SUP322955,PROD211579,9,857,943.73,1.16
SYSSP0000274,SUP322955,PROD713799,3,605,221.06,0.4
SYSSP0000275,SUP322955,PROD169403,11,639,258.17,0.28
SYSSP0000276,SUP322955,PROD140932,7,636,167.63,0.78
SYSSP0000277,SUP322955,PROD753425,10,692,300.55,0.52
SYSSP0000278,SUP322955,PROD345386,10,490,101.91,0.5
SYSSP0000279,SUP322955,PROD680099,7,430,41.97,0.51
SYSSP0000280,SUP322955,PROD968962,10,279,154.57,0.49
SYSSP0000281,SUP322955,PROD794093,1,486,220.57,1.15
SYSSP0000282,SUP322955,PROD851759,1,664,58.48,0.39
SYSSP0000283,SUP322955,PROD423993,9,506,86.83,0.26
SYSSP0000284,SUP322955,PROD546768,2,615,145.58,0.85
SYSSP0000285,SUP322955,PROD130782,2,612,234.31,0.64
SYSSP0000286,SUP322955,PROD823975,10,436,162.38,0.48
SYSSP0000287,SUP322955,PROD976325,7,597,120.68,0.99
SYSSP0000288,SUP322955,PROD722665,8,418,221.46,0.88
SYSSP0000289,SUP322955,PROD934638,5,620,239.91,1.16
SYSSP0000290,SUP322955,PROD112537,11,420,247.74,0.86
SYSSP0000291,SUP322955,PROD801765,6,585,179.52,0.59
SYSSP0000292,SUP322955,PROD637450,12,408,150.76,0.84
SYSSP0000293,SUP322955,PROD253300,7,593,193.27,1.15
SYSSP0000294,SUP322955,PROD817644,11,580,206.6,0.71
SYSSP0000295,SUP322955,PROD751303,1,408,102.57,0.41
SYSSP0000296,SUP322955,PROD571635,9,365,132.16,0.35
SYSSP0000297,SUP322955,PROD412999,7,509,299.38,1.04
SYSSP0000298,SUP322955,PROD477880,11,588,105.94,0.97
SYSSP0000299,SUP322955,PROD196126,2,328,2382.09,1.03
SYSSP0000300,SUP322955,PROD133958,11,619,1049.75,0.61
SYSSP0000301,SUP322955,PROD496764,3,562,1743.0,0.95
SYSSP0000302,SUP322955,PROD372028,9,523,1714.85,1.17
SYSSP0000303,SUP322955,PROD237174,9,438,310.65,0.77
SYSSP0000304,SUP322955,PROD887842,7,643,175.42,0.58
SYSSP0000305,SUP322955,PROD913308,28,100,97570.63,1.0
SYSSP0000306,SUP322955,PROD881177,17,86,66117.46,1.07
SYSSP0000307,SUP322955,PROD694916,32,146,76982.16,0.49
SYSSP0000308,SUP322955,PROD558089,38,114,64724.54,0.71
SYSSP0000309,SUP322955,PROD409571,28,108,111673.19,1.08
SYSSP0000310,SUP322955,PROD787436,12,86,111203.3,0.57
SYSSP0000311,SUP322955,PROD600935,27,127,147058.63,0.52
SYSSP0000312,SUP322955,PROD806004,16,98,93139.78,0.49
SYSSP0000313,SUP322955,PROD881886,29,140,126272.31,0.21
SYSSP0000314,SUP322955,PROD416797,17,112,119381.22,0.35
SYSSP0000315,SUP322955,PROD421549,35,94,109782.52,0.44
SYSSP0000316,SUP322955,PROD434640,18,110,82655.04,0.99
SYSSP0000317,SUP322955,PROD322182,29,94,150731.56,0.7
SYSSP0000318,SUP322955,PROD630041,32,145,57552.27,0.92
SYSSP0000319,SUP322955,PROD749137,21,80,136156.06,0.44
SYSSP0000320,SUP322955,PROD701253,27,90,139127.15,0.56
SYSSP0000321,SUP322955,PROD207570,31,129,118611.52,0.24
SYSSP0000322,SUP322955,PROD670913,25,112,62023.55,0.56
SYSSP0000323,SUP322955,PROD378535,15,110,108005.29,0.83
SYSSP0000324,SUP322955,PROD453961,37,97,104293.09,0.75
SYSSP0000325,SUP322955,PROD374267,34,139,108414.3,0.68
SYSSP0000326,SUP322955,PROD121215,19,88,146766.96,1.14
SYSSP0000327,SUP322955,PROD999398,14,105,82716.56,0.4
SYSSP0000328,SUP322955,PROD735053,14,119,64316.76,1.19
SYSSP0000329,SUP322955,PROD108454,29,112,51153.26,0.85
SYSSP0000330,SUP322955,PROD674553,22,86,61726.23,0.53
SYSSP0000331,SUP322955,PROD533911,16,135,82527.84,0.94
SYSSP0000332,SUP322955,PROD255061,25,103,26670.65,0.7
SYSSP0000333,SUP322955,PROD504924,38,90,43119.03,0.28
SYSSP0000334,SUP881177,PROD664607,3,280,81.31,1.76
SYSSP0000335,SUP881177,PROD475691,3,138,369.01,1.69
SYSSP0000336,SUP881177,PROD179710,11,181,172.79,1.11
SYSSP0000337,SUP881177,PROD166412,12,324,862.6,0.95
SYSSP0000338,SUP881177,PROD862760,8,285,742.01,2.05
SYSSP0000339,SUP881177,PROD680493,12,178,973.77,2.89
SYSSP0000340,SUP881177,PROD520274,8,327,997.18,2.06
SYSSP0000341,SUP881177,PROD612530,11,287,695.29,2.23
SYSSP0000342,SUP881177,PROD989545,6,158,487.88,1.21
SYSSP0000343,SUP881177,PROD939717,11,298,117.56,1.06
SYSSP0000344,SUP881177,PROD564586,7,328,1583.15,2.15
SYSSP0000345,SUP881177,PROD451470,10,202,1340.31,2.68
SYSSP0000346,SUP881177,PROD446968,29,51,71090.44,1.78
SYSSP0000347,SUP881177,PROD418594,17,91,22158.43,2.66
SYSSP0000348,SUP881177,PROD612573,25,82,63189.62,0.94
SYSSP0000349,SUP881177,PROD572398,32,58,28433.15,2.67
SYSSP0000350,SUP881177,PROD397846,37,85,38271.17,2.2
SYSSP0000351,SUP881177,PROD952227,40,63,56049.77,1.07
SYSSP0000352,SUP881177,PROD946305,21,90,64184.17,2.54
SYSSP0000353,SUP881177,PROD108454,15,63,51207.09,1.61
SYSSP0000354,SUP881177,PROD859364,40,75,60749.78,2.75
SYSSP0000355,SUP881177,PROD172306,17,59,51771.9,2.38
SYSSP0000356,SUP881177,PROD555292,30,73,84084.37,1.7
SYSSP0000357,SUP881177,PROD245998,33,44,58652.63,1.5
SYSSP0000358,SUP881177,PROD107459,17,68,49937.86,1.94
SYSSP0000359,SUP881177,PROD600935,19,96,147977.63,2.01
SYSSP0000360,SUP881177,PROD421549,33,51,106551.92,1.08
SYSSP0000361,SUP881177,PROD158896,10,694,108.38,1.07
SYSSP0000362,SUP881177,PROD260626,4,405,128.98,1.51
SYSSP0000363,SUP881177,PROD759176,5,427,68.17,1.94
SYSSP0000364,SUP881177,PROD160718,6,683,359.92,1.23
SYSSP0000365,SUP881177,PROD502219,10,390,139.85,1.47
SYSSP0000366,SUP881177,PROD806537,10,297,409.33,1.17
SYSSP0000367,SUP881177,PROD242723,4,337,139.73,2.39
SYSSP0000368,SUP881177,PROD985364,7,681,362.71,0.89
SYSSP0000369,SUP881177,PROD178465,2,291,89.29,2.21
SYSSP0000370,SUP881177,PROD512022,6,583,201.1,2.06
SYSSP0000371,SUP881177,PROD735605,2,504,79.72,2.0
SYSSP0000372,SUP881177,PROD721254,6,497,242.2,2.58
SYSSP0000373,SUP881177,PROD700067,8,402,775.05,2.31
SYSSP0000374,SUP881177,PROD226611,4,475,359.31,1.82
SYSSP0000375,SUP881177,PROD401036,7,560,764.69,2.7
SYSSP0000376,SUP881177,PROD337547,7,625,1163.4,1.56
SYSSP0000377,SUP245051,PROD975679,7,125,2234.99,4.42
SYSSP0000378,SUP245051,PROD731977,17,227,761.67,7.01
SYSSP0000379,SUP245051,PROD908554,14,260,524.56,3.3
SYSSP0000380,SUP245051,PROD213475,16,355,1659.73,4.99
SYSSP0000381,SUP245051,PROD242239,9,358,857.51,3.7
SYSSP0000382,SUP245051,PROD820775,16,124,1642.53,4.97
SYSSP0000383,SUP245051,PROD496764,14,374,1558.78,3.04
SYSSP0000384,SUP245051,PROD155642,9,287,427.58,4.33
SYSSP0000385,SUP245051,PROD824586,11,391,432.13,4.31
SYSSP0000386,SUP245051,PROD980651,9,297,295.42,6.32
SYSSP0000387,SUP245051,PROD372028,13,160,1554.25,2.98
SYSSP0000388,SUP245051,PROD801520,12,385,2228.94,6.27
SYSSP0000389,SUP245051,PROD862760,12,360,703.61,2.7
SYSSP0000390,SUP245051,PROD794093,6,270,207.55,5.1
SYSSP0000391,SUP245051,PROD484682,11,363,220.08,7.16
SYSSP0000392,SUP245051,PROD989545,11,301,496.86,6.2
SYSSP0000393,SUP245051,PROD172306,30,61,49493.24,5.05
SYSSP0000394,SUP245051,PROD864711,37,76,69975.97,6.58
SYSSP0000395,SUP245051,PROD199807,30,83,40293.41,4.58
SYSSP0000396,SUP245051,PROD555292,31,95,81556.3,2.63
SYSSP0000397,SUP245051,PROD802729,34,81,22152.41,6.38
SYSSP0000398,SUP245051,PROD641975,36,86,48115.74,4.9
SYSSP0000399,SUP245051,PROD851763,38,86,24800.29,6.71
SYSSP0000400,SUP245051,PROD579536,26,55,47841.7,7.24
SYSSP0000401,SUP245051,PROD273148,21,41,58717.14,4.59
SYSSP0000402,SUP245051,PROD740967,35,53,12777.07,6.37
SYSSP0000403,SUP245051,PROD324082,37,86,87329.74,3.19
SYSSP0000404,SUP245051,PROD482614,27,60,124868.78,4.89
SYSSP0000405,SUP245051,PROD610310,31,51,100684.93,5.17
SYSSP0000406,SUP813536,PROD584838,30,42,90402.05,7.17
SYSSP0000407,SUP813536,PROD364955,42,38,58149.31,5.88
SYSSP0000408,SUP813536,PROD442622,32,42,143947.35,6.52
SYSSP0000409,SUP813536,PROD188834,26,38,61412.42,2.9
SYSSP0000410,SUP813536,PROD761532,36,36,113149.08,3.57
SYSSP0000411,SUP813536,PROD558089,36,55,60825.29,3.19
SYSSP0000412,SUP813536,PROD132316,41,57,81014.48,2.75
SYSSP0000413,SUP813536,PROD434640,34,60,74793.07,3.0
SYSSP0000414,SUP813536,PROD570711,32,50,63886.02,6.35
SYSSP0000415,SUP813536,PROD740967,21,30,12773.27,7.18
